ORD_ID,ORD_DATE,ORD_PRIORITY,ORD_DISCOUNT,QUANTITY_ORDERED_NEW
10464,10/08/2010,Critical,0.01,41
10470,04/05/2013,Critical,0.1,46
10567,29/03/2013,High,0.09,10
10624,20/12/2013,Critical,0.06,46
10819,24/08/2011,Critical,0.06,63
10919,27/03/2011,High,0.07,42
10944,12/11/2012,High,0,31
10949,30/03/2013,Medium,0.1,46
10982,10/12/2013,Not Specified,0.02,58
10982,10/12/2013,Not Specified,0.05,60
10982,10/12/2013,Not Specified,0,28
11013,17/04/2010,High,0.01,2
11077,20/03/2010,Low,0.06,30
11206,28/12/2010,Low,0.09,48
11206,28/12/2010,Low,0.03,11
11425,22/06/2012,Critical,0.1,48
11425,22/06/2012,Critical,0.04,38
11460,24/08/2011,High,0.09,54
11527,02/07/2010,Medium,0.04,54
11651,22/02/2012,Medium,0.07,21
11683,07/02/2013,Not Specified,0.03,28
11712,26/04/2010,Low,0.06,9
11779,29/06/2011,Not Specified,0.04,68
11779,29/06/2011,Not Specified,0.09,65
11808,31/07/2013,Not Specified,0.06,1
11874,09/09/2013,Medium,0,2
11874,09/09/2013,Medium,0.07,42
11876,03/07/2012,High,0.02,63
11968,16/03/2012,Low,0.04,35
12129,25/12/2013,Medium,0,72
12224,12/12/2010,High,0.04,4
12224,12/12/2010,High,0.1,54
12256,18/12/2013,Medium,0.1,88
12320,20/12/2012,Critical,0.05,70
12480,07/07/2010,Medium,0,10
12643,19/03/2011,Low,0.02,22
12804,25/05/2013,Medium,0,27
12804,25/05/2013,Medium,0.08,65
12804,25/05/2013,Medium,0.02,44
12868,01/03/2012,Critical,0.09,35
12868,01/03/2012,Critical,0.09,2
12897,18/07/2012,Not Specified,0.03,53
12897,18/07/2012,Not Specified,0.05,42
12900,03/05/2011,High,0.08,73
12900,03/05/2011,High,0.08,26
12930,24/11/2012,High,0.06,167
13284,12/08/2013,High,0.05,44
13284,12/08/2013,High,0.1,98
13383,15/06/2013,Not Specified,0.07,53
13408,14/02/2010,Low,0.04,4
13440,13/10/2011,Not Specified,0.07,40
13444,05/01/2013,High,0.06,36
13507,29/12/2013,Medium,0.09,54
13570,02/12/2013,Not Specified,0.04,4
13570,02/12/2013,Not Specified,0.04,84
13601,16/08/2013,Low,0.09,34
13606,26/04/2010,Not Specified,0.07,34
13634,18/04/2012,High,0.05,52
13634,18/04/2012,High,0.04,30
13638,30/09/2012,High,0.05,96
13730,09/05/2012,High,0.07,41
13735,21/05/2010,Medium,0.02,52
13959,04/04/2010,Medium,0.01,47
13959,04/04/2010,Medium,0.09,19
13984,24/09/2013,Critical,0.05,63
13988,01/08/2013,Not Specified,0.01,68
13988,01/08/2013,Not Specified,0,78
13988,01/08/2013,Not Specified,0.04,36
14023,20/02/2011,Not Specified,0.08,36
14023,20/02/2011,Not Specified,0.03,48
14115,14/08/2010,Not Specified,0.04,43
14115,14/08/2013,Not Specified,0.06,92
14241,14/06/2013,Critical,0.03,33
14596,10/01/2010,Critical,0.01,24
14596,10/01/2010,Critical,0.06,19
14630,16/10/2013,Low,0.08,36
14693,09/01/2012,Critical,0.02,44
14693,09/01/2012,Critical,0.05,43
14755,05/01/2011,High,0.09,31
14755,05/01/2011,High,0.1,44
14756,31/08/2010,Low,0.06,4
14784,14/03/2013,Medium,0.04,43
14785,09/10/2010,High,0.08,36
14785,09/10/2010,High,0.02,45
14819,25/01/2011,Not Specified,0.09,48
14819,25/01/2011,Not Specified,0.07,27
14855,30/04/2011,Not Specified,0.06,44
14855,30/04/2011,Not Specified,0.1,48
14855,30/04/2011,Not Specified,0.01,19
14884,27/09/2012,High,0.06,12
14916,27/02/2013,Low,0.07,16
15009,21/12/2012,Not Specified,0.09,92
15009,21/12/2012,Not Specified,0.08,56
15264,17/11/2012,Medium,0.07,10
15264,17/11/2012,Medium,0.07,44
15300,08/02/2012,High,0.05,47
15303,13/09/2011,Critical,0.02,38
15303,13/09/2011,Critical,0.02,33
15463,24/07/2011,Low,0.04,58
15714,05/07/2012,High,0.01,68
15907,11/04/2012,High,0.01,40
15907,11/04/2012,High,0.04,40
15907,11/04/2012,High,0.09,4
16098,21/07/2013,Low,0.06,43
16098,21/07/2013,Low,0.09,62
16289,17/07/2011,High,0.01,59
16289,17/07/2011,High,0.09,44
16320,20/10/2012,Not Specified,0,33
16422,09/10/2012,Critical,0.01,79
16422,09/10/2012,Critical,0.02,32
16480,06/12/2013,Not Specified,0.09,28
16547,18/02/2010,Not Specified,0.09,30
16547,18/02/2010,Not Specified,0.04,8
16676,19/03/2010,High,0.07,39
16710,24/04/2012,High,0.09,53
16741,30/09/2011,Medium,0.01,11
16772,26/12/2013,High,0.04,76
16806,17/06/2013,High,0.1,6
16806,17/06/2011,High,0,27
16897,15/06/2013,Not Specified,0.02,2
16897,15/06/2013,Not Specified,0.06,72
17155,28/01/2010,Medium,0,36
17155,28/01/2013,Medium,0.03,34
17216,27/05/2013,Medium,0.05,9
17317,03/12/2013,Not Specified,0.06,14
17446,09/06/2010,Critical,0,23
17542,31/08/2011,Low,0.01,67
17636,04/02/2010,Low,0.03,2
17860,06/04/2012,Critical,0.05,18
17985,12/04/2012,Medium,0.01,4
17985,12/04/2012,Medium,0.07,56
18341,18/07/2013,Critical,0,55
18373,12/04/2013,Critical,0.09,35
18530,31/12/2011,Not Specified,0.02,4
18530,31/12/2011,Not Specified,0,46
18534,30/12/2012,Low,0.1,72
18561,09/01/2010,Not Specified,0.02,9
18596,02/10/2013,Low,0.02,88
18596,02/10/2013,Low,0.01,67
18598,06/08/2011,Critical,0.1,43
18598,06/08/2011,Critical,0.03,83
18789,16/03/2012,High,0,56
18790,11/02/2013,High,0.01,7
18917,03/05/2013,Critical,0.08,18
18945,17/01/2013,Medium,0.06,36
18950,27/02/2013,Low,0.05,33
19041,26/07/2012,Low,0.08,4
19041,26/07/2012,Low,0.04,58
19042,01/03/2010,Critical,0.07,8
19205,26/07/2011,Medium,0.04,56
19205,26/07/2011,Medium,0,37
19332,27/02/2013,High,0.06,46
19365,16/01/2012,Medium,0.03,32
19394,25/12/2013,Medium,0.05,32
19394,25/12/2013,Medium,0.05,10
19429,24/08/2013,Not Specified,0.05,4
19556,30/12/2011,Not Specified,0.07,83
19556,30/12/2011,Not Specified,0.09,41
19556,30/12/2011,Not Specified,0.08,65
19812,02/04/2011,Low,0.01,3
19841,26/12/2011,Low,0.03,31
19841,26/12/2011,Low,0.08,13
19841,26/12/2013,Low,0.06,86
19936,13/11/2013,Critical,0.06,68
19936,13/11/2013,Critical,0.09,148
20007,05/08/2010,Not Specified,0.08,88
20036,05/12/2011,Not Specified,0.03,52
20036,05/12/2011,Not Specified,0.03,39
20036,05/12/2011,Not Specified,0.1,46
20036,05/12/2011,Not Specified,0.03,81
20068,28/02/2012,Critical,0.09,10
20261,20/05/2013,Medium,0.09,33
20261,20/05/2010,Medium,0.04,52
20261,20/05/2013,Medium,0.02,27
20807,21/07/2013,Not Specified,0.1,22
20807,21/07/2013,Not Specified,0.08,55
20960,18/11/2012,Low,0.1,65
21057,03/02/2012,Low,0.04,31
21249,19/09/2011,Low,0.02,40
21249,19/09/2013,Low,0.03,15
21539,09/07/2013,Medium,0.04,25
21539,09/07/2011,Medium,0.05,47
21572,13/02/2010,Critical,0.03,42
21574,15/01/2011,Critical,0,33
21600,04/04/2011,Low,0.03,17
21601,06/04/2012,Low,0.09,22
21636,10/08/2010,Low,0,29
21636,10/08/2010,Low,0.07,11
21636,10/08/2010,Low,0.02,63
21670,11/01/2012,High,0,27
21760,30/01/2012,Not Specified,0.08,10
21958,05/06/2010,High,0.09,21
22051,30/12/2012,Not Specified,0.01,78
22115,15/06/2013,Low,0.02,8
22147,16/01/2010,Low,0.04,37
22468,10/06/2011,Not Specified,0,21
22468,10/06/2011,Not Specified,0.03,17
22468,10/06/2011,Not Specified,0,29
22656,22/12/2011,Not Specified,0.05,19
22727,03/07/2012,Not Specified,0.07,61
22755,30/03/2013,Medium,0,35
22755,30/03/2010,Medium,0.04,45
22755,30/03/2010,Medium,0.06,5
22787,05/04/2012,Medium,0.06,39
22848,10/12/2012,Not Specified,0.01,40
22848,10/12/2012,Not Specified,0.02,90
22848,10/12/2012,Not Specified,0.09,8
22885,23/11/2013,Medium,0.05,14
23042,26/04/2010,Medium,0.04,20
23140,08/02/2013,High,0.05,18
23140,08/02/2013,High,0.02,16
23172,24/04/2013,Low,0.07,13
23271,03/11/2011,High,0.09,3
23617,05/05/2012,Not Specified,0.04,9
23751,18/03/2010,Medium,0.01,44
23781,31/10/2012,Critical,0,59
23782,10/01/2011,Low,0.09,46
23782,10/01/2011,Low,0.09,7
23877,12/07/2010,Not Specified,0.07,37
23877,12/07/2010,Not Specified,0,42
23940,08/04/2012,Medium,0.03,22
23940,08/04/2012,Medium,0.02,12
23968,04/03/2012,Critical,0.05,21
24193,14/03/2010,Not Specified,0.02,45
24193,14/03/2010,Not Specified,0.02,24
24193,14/03/2010,Not Specified,0.04,19
24294,02/08/2010,Not Specified,0.03,43
24356,11/05/2011,Medium,0.06,54
24455,06/12/2013,Not Specified,0,16
24455,06/12/2010,Not Specified,0.07,76
24486,22/04/2012,Medium,0.03,3
24486,22/04/2012,Medium,0,16
24519,11/06/2012,Critical,0.03,36
24577,01/03/2011,Medium,0.05,8
24610,18/01/2011,Not Specified,0.01,4
24806,06/09/2011,Not Specified,0.05,36
24869,10/06/2010,Not Specified,0.05,21
24903,19/10/2011,Low,0.05,59
24931,07/11/2012,Low,0.05,31
24993,11/03/2013,High,0.09,36
25062,30/10/2011,Critical,0.03,9
25062,30/10/2011,Critical,0.04,16
25473,14/10/2013,High,0.05,76
25473,14/10/2013,High,0.08,42
25569,09/07/2013,High,0.09,38
25669,16/01/2012,Critical,0.02,13
25697,26/04/2012,Low,0.02,52
25830,06/05/2011,Low,0.1,7
25830,06/05/2011,Low,0.05,16
26021,14/09/2013,Critical,0,36
26214,20/11/2012,Medium,0.1,65
26214,20/11/2012,Medium,0.08,139
26274,12/06/2013,Not Specified,0.06,62
26342,18/10/2010,Low,0.02,43
26342,18/10/2010,Low,0.02,74
26342,18/10/2010,Low,0.04,5
26370,08/08/2012,Not Specified,0.08,24
26370,08/08/2012,Not Specified,0.09,39
26373,22/07/2011,Medium,0.08,8
26406,12/04/2012,Not Specified,0.09,45
26439,15/09/2012,Medium,0,74
26439,15/09/2012,Medium,0.04,72
26439,15/09/2012,Medium,0.1,45
26660,18/03/2013,Medium,0.1,1
26695,06/06/2011,Not Specified,0.01,65
26756,10/05/2013,Medium,0.07,33
26756,10/05/2013,Medium,0.09,52
26756,10/05/2013,Medium,0.07,26
26784,23/07/2011,Critical,0.02,14
26784,23/07/2013,Critical,0.09,46
26818,08/01/2013,Not Specified,0.05,25
26818,08/01/2013,Not Specified,0.01,6
26818,08/01/2013,Not Specified,0.1,40
26851,24/07/2012,High,0.07,59
26887,15/05/2012,Critical,0.08,60
26887,15/05/2012,Critical,0.07,36
26981,30/08/2013,Medium,0.08,26
26981,30/08/2013,Medium,0.04,88
27013,05/07/2010,Low,0.05,34
27013,05/07/2010,Low,0.05,31
27047,22/11/2011,High,0.06,85
27047,22/11/2011,High,0.05,129
27077,15/03/2011,Critical,0,11
27138,30/05/2013,High,0.07,40
27138,30/05/2013,High,0.1,48
27174,08/10/2012,Critical,0.09,33
27265,06/05/2013,Critical,0.02,64
27265,06/05/2013,Critical,0.05,47
27265,06/05/2013,Critical,0.03,64
27456,10/04/2010,Not Specified,0.05,29
27616,30/07/2013,Low,0.09,4
27811,04/03/2012,Not Specified,0.09,35
27811,04/03/2012,Not Specified,0.06,4
27841,16/09/2013,High,0.05,69
27872,13/10/2012,Not Specified,0.01,49
28001,14/06/2010,Critical,0.02,62
28001,14/06/2010,Critical,0.01,32
28225,22/01/2010,Critical,0,9
28321,01/08/2011,Medium,0.03,50
28453,28/12/2013,Critical,0.04,52
28482,08/03/2011,Critical,0.03,22
28482,08/03/2013,Critical,0,40
28581,07/12/2012,Medium,0.06,2
28581,07/12/2012,Medium,0.04,72
28582,22/01/2013,Not Specified,0.06,44
28582,22/01/2013,Not Specified,0.02,50
28647,14/03/2010,Critical,0.09,38
28807,31/03/2012,High,0.02,10
28868,05/04/2013,High,0.05,30
29090,16/01/2013,Medium,0.02,26
29090,16/01/2013,Medium,0.02,40
29152,23/07/2012,Low,0,4
29152,23/07/2012,Low,0.06,18
29249,13/06/2012,Low,0.1,20
29249,13/06/2012,Low,0.05,78
29255,03/12/2012,Low,0.03,22
29319,24/01/2010,Low,0.1,30
29319,24/01/2010,Low,0.03,21
29350,25/08/2010,High,0.05,85
29350,25/08/2013,High,0.1,20
29350,25/08/2010,High,0.05,83
29507,09/02/2013,Low,0.04,14
29507,09/02/2013,Low,0.05,41
29537,19/09/2013,Low,0.08,63
29572,03/06/2011,Not Specified,0.1,27
29671,22/03/2013,Critical,0.02,43
29700,06/04/2011,Medium,0.01,9
29764,22/07/2013,Critical,0,14
29889,04/12/2010,Not Specified,0.09,81
29958,06/01/2012,High,0,53
29958,06/01/2012,High,0.1,36
29985,11/07/2013,Critical,0.03,31
30048,13/06/2012,Medium,0.06,73
30114,16/08/2011,Low,0.09,13
30336,29/01/2011,Medium,0.06,28
30372,30/08/2011,High,0.1,2
30375,03/05/2013,Low,0.03,26
30497,06/02/2012,Critical,0.03,38
30497,06/02/2012,Critical,0.06,35
30660,05/09/2013,Critical,0.02,34
30784,07/05/2013,Medium,0.06,13
30784,07/05/2013,Medium,0.02,62
30785,03/07/2010,High,0.03,8
30785,03/07/2010,High,0.07,46
30883,21/08/2013,Medium,0.1,60
31040,14/09/2011,Not Specified,0.1,42
31040,14/09/2011,Not Specified,0.1,35
31140,01/02/2012,Critical,0.03,4
31171,08/04/2013,Not Specified,0.08,37
31173,18/08/2013,Low,0.09,48
31301,18/10/2011,Low,0.06,56
31303,20/03/2012,Low,0.09,56
31492,15/10/2011,Critical,0.04,47
31492,15/10/2011,Critical,0.09,61
31492,15/10/2011,Critical,0.03,41
31523,08/03/2013,Low,0.1,17
31523,08/03/2013,Low,0,19
31681,07/11/2013,Not Specified,0.02,137
31842,16/07/2011,Medium,0.06,11
31872,06/09/2011,Low,0.06,62
31872,06/09/2011,Low,0.09,55
31877,29/06/2013,Medium,0.08,51
31939,25/06/2012,High,0.07,21
32037,16/02/2010,Low,0.04,37
32037,16/02/2010,Low,0.07,15
32065,02/12/2012,Medium,0.09,50
32099,05/05/2011,Not Specified,0.08,59
32164,02/02/2011,Not Specified,0.02,12
32164,02/02/2011,Not Specified,0.07,34
32164,02/02/2011,Not Specified,0.1,23
32230,19/08/2013,High,0.07,92
32292,15/02/2013,Low,0.04,49
32292,15/02/2013,Low,0.07,1
32325,01/11/2013,Critical,0,162
32420,29/07/2010,Medium,0.07,42
32420,29/07/2010,Medium,0.07,23
32450,19/12/2012,Medium,0.1,74
32454,31/03/2012,Critical,0.05,13
32641,21/03/2011,High,0.05,18
32647,18/11/2012,High,0.07,109
32647,18/11/2012,High,0.06,92
32710,16/11/2010,High,0.04,146
32804,09/09/2013,Medium,0.07,103
32804,09/09/2013,Medium,0.02,42
32806,21/06/2012,High,0.1,79
32806,21/06/2012,High,0.02,54
32869,27/03/2010,Medium,0.06,41
32869,27/03/2010,Medium,0.05,49
32869,27/03/2013,Medium,0.01,2
32869,27/03/2010,Medium,0.1,39
32931,15/02/2011,Low,0.06,31
32931,15/02/2011,Low,0.08,25
33152,21/11/2011,Critical,0,65
33219,10/12/2012,High,0,64
33222,19/06/2013,Medium,0.05,27
33222,19/06/2013,Medium,0.1,45
33222,19/06/2013,Medium,0.02,72
33287,22/04/2012,Critical,0,49
33477,19/10/2013,High,0.08,59
33478,14/06/2011,High,0.04,32
33505,25/09/2011,Low,0.09,58
33505,25/09/2011,Low,0.07,64
33540,06/06/2012,Low,0.1,35
33605,03/04/2013,Critical,0.04,42
33632,13/03/2011,Critical,0.06,8
33635,12/07/2010,High,0.04,6
33635,12/07/2010,High,0.07,5
33732,28/08/2013,Not Specified,0.05,66
33763,23/09/2011,Not Specified,0.08,42
33826,19/12/2011,Low,0.03,24
33959,31/07/2013,Critical,0.03,32
34017,23/03/2010,High,0.05,20
34017,23/03/2010,High,0.01,28
34048,28/03/2012,Low,0.04,1
34086,29/04/2013,High,0.04,41
34244,29/09/2011,Low,0,46
34244,29/09/2011,Low,0.04,7
34246,07/10/2011,Critical,0.03,88
34246,07/10/2011,Critical,0.03,32
34246,07/10/2011,Critical,0.01,49
34400,24/12/2013,Low,0.01,50
34400,24/12/2013,Low,0.04,34
34435,05/08/2010,Low,0.01,76
34657,05/05/2011,Low,0.04,67
34849,12/10/2011,Critical,0.1,5
34849,12/10/2011,Critical,0.08,40
34849,12/10/2011,Critical,0.07,5
34881,07/02/2012,Medium,0.01,41
34882,24/07/2010,Critical,0.03,52
35045,02/04/2013,Medium,0.1,44
35046,24/07/2011,Medium,0.1,25
35046,24/07/2011,Medium,0.07,16
35046,24/07/2011,Medium,0.03,54
35200,05/02/2010,Medium,0.08,15
35649,09/10/2012,Medium,0.1,18
35649,09/10/2012,Medium,0.02,49
35684,03/08/2012,Low,0.07,20
35712,23/10/2013,High,0.1,88
35712,23/10/2013,High,0,50
35777,08/09/2011,Critical,0.09,64
35840,29/05/2011,High,0.04,52
35840,29/05/2011,High,0.08,71
35842,24/05/2013,High,0.03,23
36038,16/08/2013,High,0.02,52
36065,17/02/2011,High,0.03,31
36069,05/12/2010,Low,0.09,24
36069,05/12/2013,Low,0,30
36069,05/12/2010,Low,0.09,37
36099,17/09/2013,Low,0.08,67
36099,17/09/2011,Low,0.09,27
36196,06/08/2012,Not Specified,0.07,14
36196,06/08/2012,Not Specified,0.09,12
36356,25/12/2012,Medium,0.01,90
36356,25/12/2012,Medium,0.08,66
36452,05/04/2010,High,0.1,26
36452,05/04/2010,High,0.04,18
36482,05/07/2012,Medium,0.1,9
36482,05/07/2012,Medium,0.06,63
36482,05/07/2012,Medium,0.07,36
36647,30/06/2010,High,0.01,32
36647,30/06/2010,High,0.09,24
36647,30/06/2010,High,0.1,27
36741,19/12/2011,Critical,0.08,48
36741,19/12/2011,Critical,0.01,11
36743,08/09/2013,Critical,0.1,6
36931,19/01/2012,Not Specified,0.1,52
37063,09/12/2013,Not Specified,0,100
37188,04/03/2013,Critical,0.04,24
37216,30/11/2011,High,0.01,82
37250,14/01/2011,High,0.03,13
37252,19/11/2012,Low,0.03,71
37252,19/11/2012,Low,0.02,3
37252,19/11/2012,Low,0.1,170
37252,19/11/2012,Low,0.03,116
37318,15/04/2011,Medium,0.07,32
37380,01/04/2012,Critical,0.08,32
37380,01/04/2012,Critical,0,53
37380,01/04/2012,Critical,0.07,47
37414,09/09/2012,Low,0.09,76
37537,02/01/2010,Low,0,4
37537,02/01/2010,Low,0.07,43
37537,02/01/2010,Low,0.05,32
37606,22/02/2011,Critical,0.05,1
37606,22/02/2011,Critical,0.03,41
37606,22/02/2011,Critical,0.06,21
37700,08/12/2013,Critical,0.05,54
37729,15/01/2010,Not Specified,0,48
37760,14/08/2010,High,0.01,32
37760,14/08/2013,High,0.04,76
37859,30/03/2013,Critical,0.01,2
37895,30/03/2013,Critical,0.1,14
37924,29/11/2010,High,0.05,167
37924,29/11/2010,High,0.09,71
37987,03/07/2013,High,0.1,36
37987,03/07/2010,High,0.1,6
37988,05/04/2012,Not Specified,0.08,13
38080,14/09/2010,Not Specified,0.08,47
38087,21/02/2010,Critical,0.02,18
38337,31/10/2011,Medium,0.09,83
38369,12/01/2011,Not Specified,0.02,3
38529,02/02/2010,Low,0.02,38
38693,14/06/2012,Low,0.02,5
38758,24/09/2012,Not Specified,0,14
38852,01/11/2010,Not Specified,0.03,85
38853,23/03/2013,Low,0.04,13
38912,28/10/2013,Low,0.01,97
38912,28/10/2013,Low,0.02,55
38979,26/02/2011,Low,0.07,48
38979,26/02/2011,Low,0.06,34
38979,26/02/2011,Low,0.02,31
39015,06/12/2010,Medium,0.05,24
39015,06/12/2010,Medium,0.07,20
39076,11/12/2010,Critical,0.02,76
39238,26/09/2011,Critical,0.1,16
39300,22/04/2013,High,0.01,9
39332,09/10/2012,Critical,0.01,8
39399,17/12/2013,Medium,0.1,56
39430,13/06/2010,Low,0.03,44
39490,12/08/2013,Low,0.02,76
39490,12/08/2013,Low,0.03,34
39654,30/09/2013,Medium,0.03,82
39686,08/06/2013,Not Specified,0.06,3
39686,08/06/2013,Not Specified,0,72
39878,05/03/2012,Not Specified,0,56
39972,25/09/2013,Not Specified,0.03,74
39972,25/09/2013,Not Specified,0.01,76
39972,25/09/2013,Not Specified,0.05,40
40101,31/01/2010,Low,0.1,46
40165,02/03/2012,High,0.07,56
40194,06/10/2013,Not Specified,0.1,63
40194,06/10/2011,Not Specified,0,29
40194,06/10/2011,Not Specified,0.02,61
40224,30/06/2010,Low,0.05,21
40547,09/07/2010,Critical,0.06,54
40612,28/02/2012,High,0.1,10
40643,05/04/2012,Critical,0.05,26
40672,29/10/2013,Low,0.04,34
40870,11/12/2012,Critical,0.08,86
40870,11/12/2012,Critical,0,56
40896,02/09/2012,Not Specified,0.03,41
40934,13/11/2012,Not Specified,0.01,95
40934,13/11/2012,Not Specified,0.07,37
40962,20/02/2012,Critical,0.03,31
