PROD_ID,PROD_NAME,UNIT_PRICE,PROD_CATEGORY,PROD_SUB_CATEGORY,PROD_CONTAINER,PROD_BASE_MARGIN
71,"Global Push Button Manager's Chair, Indigo",60.89,Furniture,Chairs & Chairmats,Jumbo Drum,0.56
72,*Staples* Highlighting Markers,4.84,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
73,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,Office Supplies,Pens & Art Supplies,Small Pack,0.56
74,"Eldon Regeneration Recycled Desk Accessories, Smoke",1.74,Furniture,Office Furnishings,Small Pack,0.53
75,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",8.33,Technology,Computer Peripherals,Small Pack,0.52
76,"#10 White Business Envelopes,4 1/8 x 9 1/2",15.67,Office Supplies,Envelopes,Small Box,0.38
77,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",130.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.78
78,Avery 49,2.88,Office Supplies,Labels,Small Box,0.36
79,Hon iLevel™ Computer Training Table,31.76,Furniture,Tables,Jumbo Box,0.65
80,Xerox 227,6.48,Office Supplies,Paper,Small Box,0.37
81,SAFCO Folding Chair Trolley,128.24,Furniture,Chairs & Chairmats,Medium Box,0.78
82,Belkin 8 Outlet Surge Protector,40.98,Office Supplies,Appliances,Small Box,0.57
83,Avery 481,3.08,Office Supplies,Labels,Small Box,0.37
84,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,90.98,Furniture,Office Furnishings,Medium Box,0.74
85,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,Furniture,Tables,Jumbo Box,0.77
86,"Sauder Forest Hills Library, Woodland Oak Finish",140.98,Furniture,Bookcases,Jumbo Box,0.77
87,Xerox 21,6.48,Office Supplies,Paper,Small Box,0.37
88,Advantus Rolling Storage Box,17.15,Office Supplies,Storage & Organization,Small Box,0.58
89,Canon PC940 Copier,449.99,Technology,Copiers and Fax,Large Box,0.52
90,HP Office Recycled Paper (20Lb. and 87 Bright),5.78,Office Supplies,Paper,Small Box,0.36
91,KF 788,45.99,Technology,Telephones and Communication,Small Box,0.56
92,Staples Brown Kraft Recycled Clasp Envelopes,5.58,Office Supplies,Envelopes,Small Box,0.35
93,Eldon Executive Woodline II Cherry Finish Desk Accessories,40.89,Furniture,Office Furnishings,Small Box,0.57
94,Belkin Premiere Surge Master II 8-outlet surge protector,48.58,Office Supplies,Appliances,Small Box,0.56
95,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",10.31,Office Supplies,Paper,Wrap Bag,0.38
96,*Staples* Letter Opener,2.18,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.81
97,US Robotics 56K V.92 External Faxmodem,99.99,Technology,Computer Peripherals,Small Box,0.52
98,Xerox 1881,12.28,Office Supplies,Paper,Small Box,0.38
99,Accessory21,20.99,Technology,Telephones and Communication,Wrap Bag,0.37
100,"Dual Level, Single-Width Filing Carts",155.06,Office Supplies,Storage & Organization,Small Box,0.59
101,Belkin 6 Outlet Metallic Surge Strip,10.89,Office Supplies,Appliances,Small Box,0.59
102,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",10.64,Furniture,Office Furnishings,Small Box,0.57
103,Staples Plastic Wall Frames,7.96,Furniture,Office Furnishings,Small Box,0.41
104,"Belkin 325VA UPS Surge Protector, 6'",120.98,Office Supplies,Appliances,Small Box,0.60
105,"Global Deluxe Stacking Chair, Gray",50.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.56
106,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",4.89,Technology,Computer Peripherals,Small Pack,0.66
107,StarTAC 7760,65.99,Technology,Telephones and Communication,Small Box,0.59
108,Okidata ML395C Color Dot Matrix Printer,1360.14,Technology,Office Machines,Jumbo Drum,0.59
109,Accessory24,55.99,Technology,Telephones and Communication,Small Pack,0.59
110,Bretford Rectangular Conference Table Tops,376.13,Furniture,Tables,Jumbo Box,0.74
111,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",11.33,Office Supplies,Appliances,Medium Box,0.42
112,Cardinal Poly Pocket Divider Pockets for Ring Binders,3.36,Office Supplies,Binders and Binder Accessories,Small Box,0.40
113,"Global High-Back Leather Tilter, Burgundy",122.99,Furniture,Chairs & Chairmats,Jumbo Drum,0.74
114,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,Furniture,Office Furnishings,Small Pack,0.39
115,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,280.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.78
116,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",6.48,Office Supplies,Paper,Small Box,0.37
117,Eldon Advantage® Foldable Chair Mats for Low Pile Carpets,54.2,Furniture,Office Furnishings,Medium Box,0.64
118,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",37.94,Office Supplies,Paper,Wrap Bag,0.38
119,Recycled Steel Personal File for Standard File Folders,55.29,Office Supplies,Storage & Organization,Small Box,0.59
120,Avery 501,3.69,Office Supplies,Labels,Small Box,0.38
121,GBC DocuBind TL300 Electric Binding System,896.99,Office Supplies,Binders and Binder Accessories,Small Box,0.38
122,T60,95.99,Technology,Telephones and Communication,Small Box,0.56
123,Brown Kraft Recycled Envelopes,16.98,Office Supplies,Envelopes,Small Box,0.35
124,"Maxell Pro 80 Minute CD-R, 10/Pack",17.48,Technology,Computer Peripherals,Small Pack,0.45
125,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65,Office Supplies,Appliances,Large Box,0.52
126,US Robotics 56K V.92 Internal PCI Faxmodem,49.99,Technology,Computer Peripherals,Small Box,0.45
127,Xerox 1941,104.85,Office Supplies,Paper,Small Box,0.37
128,Global Deluxe Office Fabric Chairs,95.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.58
129,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",4.26,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
130,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",15.01,Office Supplies,Binders and Binder Accessories,Small Box,0.39
131,Wilson Jones Turn Tabs Binder Tool for Ring Binders,4.82,Office Supplies,Binders and Binder Accessories,Small Box,0.39
132,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",2.18,Office Supplies,Paper,Wrap Bag,0.38
133,Acco Perma® 3000 Stacking Storage Drawers,20.98,Office Supplies,Storage & Organization,Small Box,0.66
134,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",29.89,Technology,Computer Peripherals,Small Pack,0.50
135,Xerox 1922,4.98,Office Supplies,Paper,Small Box,0.36
136,Epson DFX5000+ Dot Matrix Printer,1500.97,Technology,Office Machines,Jumbo Drum,0.57
137,Xerox 1910,48.04,Office Supplies,Paper,Small Box,0.37
138,Newell 320,4.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
139,"Imation 3.5 IBM Formatted Diskettes, 10/Box",8.32,Technology,Computer Peripherals,Small Pack,0.74
140,Newell 343,2.94,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
141,Xerox 1936,19.98,Office Supplies,Paper,Small Box,0.38
142,Xerox 214,6.48,Office Supplies,Paper,Small Box,0.37
143,Carina Double Wide Media Storage Towers in Natural & Black,80.98,Office Supplies,Storage & Organization,Large Box,0.81
144,Keytronic Designer 104- Key Black Keyboard,40.48,Technology,Computer Peripherals,Small Box,0.77
145,Staples Vinyl Coated Paper Clips,3.93,Office Supplies,Rubber Bands,Wrap Bag,0.39
146,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",99.23,Furniture,Office Furnishings,Small Pack,0.35
147,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",40.98,Office Supplies,Binders and Binder Accessories,Small Box,0.36
148,Safco Industrial Wire Shelving,95.99,Office Supplies,Storage & Organization,Large Box,0.77
149,SC7868i,125.99,Technology,Telephones and Communication,Small Box,0.55
150,Adesso Programmable 142-Key Keyboard,152.48,Technology,Computer Peripherals,Small Box,0.79
151,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",15.99,Office Supplies,Binders and Binder Accessories,Small Box,0.37
152,Round Specialty Laser Printer Labels,12.53,Office Supplies,Labels,Small Box,0.38
153,Array® Memo Cubes,5.18,Office Supplies,Paper,Wrap Bag,0.36
154,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,355.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.64
155,"Dixon My First Ticonderoga Pencil, #2",5.85,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
156,Fellowes 17-key keypad for PS/2 interface,30.73,Technology,Computer Peripherals,Small Box,0.75
157,"Seth Thomas 8 1/2"" Cubicle Clock",20.28,Furniture,Office Furnishings,Small Box,0.53
158,Storex DuraTech Recycled Plastic Frosted Binders,4.24,Office Supplies,Binders and Binder Accessories,Small Box,0.35
159,Xerox 1952,4.98,Office Supplies,Paper,Small Box,0.38
160,"Memorex Slim 80 Minute CD-R, 10/Pack",9.78,Technology,Computer Peripherals,Small Pack,0.43
161,g520,65.99,Technology,Telephones and Communication,Small Box,0.59
162,Xerox 21,6.48,Office Supplies,Paper,Small Box,0.37
163,Boston KS Multi-Size Manual Pencil Sharpener,22.99,Office Supplies,Pens & Art Supplies,Small Pack,0.57
164,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",11.66,Office Supplies,Pens & Art Supplies,Small Pack,0.58
165,Xerox 1897,4.98,Office Supplies,Paper,Small Box,0.36
166,"Eldon® Expressions™ Wood Desk Accessories, Oak",7.38,Furniture,Office Furnishings,Small Box,0.56
167,Bevis Round Conference Table Top & Single Column Base,146.34,Furniture,Tables,Jumbo Box,0.65
168,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",47.98,Technology,Computer Peripherals,Small Pack,0.71
169,Xerox 1905,6.48,Office Supplies,Paper,Small Box,0.37
170,Tennsco Industrial Shelving,48.91,Office Supplies,Storage & Organization,Large Box,0.83
171,Canon P1-DHIII Palm Printing Calculator,17.98,Technology,Office Machines,Medium Box,0.40
172,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,80.97,Technology,Office Machines,Jumbo Box,0.40
173,Flexible Leather- Look Classic Collection Ring Binder,18.94,Office Supplies,Binders and Binder Accessories,Small Box,0.35
174,GBC Therma-A-Bind 250T Electric Binding System,122.99,Office Supplies,Binders and Binder Accessories,Small Box,0.37
175,OIC Thumb-Tacks,1.14,Office Supplies,Rubber Bands,Wrap Bag,0.38
176,M70,125.99,Technology,Telephones and Communication,Small Box,0.59
177,Rush Hierlooms Collection Rich Wood Bookcases,160.98,Furniture,Bookcases,Jumbo Box,0.72
178,Zoom V.92 USB External Faxmodem,49.99,Technology,Computer Peripherals,Small Box,0.41
179,Lock-Up Easel 'Spel-Binder',28.53,Office Supplies,Binders and Binder Accessories,Small Box,0.38
180,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",16.91,Office Supplies,Storage & Organization,Small Box,0.58
181,CF 688,155.99,Technology,Telephones and Communication,Small Box,0.58
182,Avery 487,3.69,Office Supplies,Labels,Small Box,0.38
183,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",99.23,Furniture,Office Furnishings,Small Pack,0.35
184,Newell 329,3.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
185,i1000,65.99,Technology,Telephones and Communication,Small Box,0.58
186,Newell 336,4.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
187,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",6.88,Office Supplies,Paper,Wrap Bag,0.39
188,Micro Innovations 104 Keyboard,10.97,Technology,Computer Peripherals,Small Box,0.64
189,"Iceberg OfficeWorks 42"" Round Tables",150.98,Furniture,Tables,Jumbo Box,0.75
190,"Fellowes Internet Keyboard, Platinum",30.42,Technology,Computer Peripherals,Small Box,0.74
191,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",39.98,Office Supplies,Envelopes,Small Box,0.40
192,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,Furniture,Office Furnishings,Medium Box,0.65
193,Avery Hi-Liter® Fluorescent Desk Style Markers,3.38,Office Supplies,Pens & Art Supplies,Wrap Bag,0.48
194,"Global High-Back Leather Tilter, Burgundy",122.99,Furniture,Chairs & Chairmats,Jumbo Drum,0.74
195,Bevis 36 x 72 Conference Tables,124.49,Furniture,Tables,Jumbo Box,0.63
196,Accessory17,35.99,Technology,Telephones and Communication,Wrap Bag,0.82
197,Avery 49,2.88,Office Supplies,Labels,Small Box,0.36
198,Anderson Hickey Conga Table Tops & Accessories,15.23,Furniture,Tables,Jumbo Box,0.76
199,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,137.48,Furniture,Bookcases,Jumbo Box,0.78
200,White GlueTop Scratch Pads,15.04,Office Supplies,Paper,Wrap Bag,0.39
201,Avery 497,3.08,Office Supplies,Labels,Small Box,0.37
202,Assorted Color Push Pins,1.81,Office Supplies,Rubber Bands,Wrap Bag,0.52
203,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",16.06,Office Supplies,Storage & Organization,Small Box,0.59
204,Newell 310,1.76,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
205,Spiral Phone Message Books with Labels by Adams,4.48,Office Supplies,Paper,Wrap Bag,0.36
206,Avery 487,3.69,Office Supplies,Labels,Small Box,0.38
207,Xerox 216,6.48,Office Supplies,Paper,Small Box,0.37
208,Nu-Dell Executive Frame,12.64,Furniture,Office Furnishings,Small Pack,0.48
209,Okidata ML184 Turbo Dot Matrix Printers,306.14,Technology,Office Machines,Jumbo Drum,0.56
210,Belkin F5C206VTEL 6 Outlet Surge,22.98,Office Supplies,Appliances,Small Box,0.55
211,GBC DocuBind 200 Manual Binding Machine,420.98,Office Supplies,Binders and Binder Accessories,Small Box,0.35
212,Vinyl Sectional Post Binders,37.7,Office Supplies,Binders and Binder Accessories,Small Box,0.35
213,Tennsco Commercial Shelving,20.34,Office Supplies,Storage & Organization,Large Box,0.84
214,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",60.65,Furniture,Office Furnishings,Medium Box,0.64
215,"Memorex 80 Minute CD-R Spindle, 100/Pack",43.98,Technology,Computer Peripherals,Small Pack,0.44
216,Wirebound Voice Message Log Book,4.76,Office Supplies,Paper,Wrap Bag,0.39
217,Strathmore Photo Mount Cards,6.78,Office Supplies,Paper,Small Box,0.39
218,Document Clip Frames,8.34,Furniture,Office Furnishings,Wrap Bag,0.43
219,LX 677,110.99,Technology,Telephones and Communication,Small Box,0.57
220,"Eureka Hand Vacuum, Bagless",49.43,Office Supplies,Appliances,Small Box,0.57
221,Avery Hi-Liter® Fluorescent Desk Style Markers,3.38,Office Supplies,Pens & Art Supplies,Wrap Bag,0.48
222,"IBM Active Response Keyboard, Black",39.98,Technology,Computer Peripherals,Small Box,0.67
223,Staples Brown Kraft Recycled Clasp Envelopes,5.58,Office Supplies,Envelopes,Small Box,0.35
224,TDK 4.7GB DVD+RW,14.48,Technology,Computer Peripherals,Small Pack,0.49
225,Bevis Round Conference Table Top & Single Column Base,146.34,Furniture,Tables,Jumbo Box,0.64
226,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.64,Office Supplies,Envelopes,Small Box,0.36
227,Avery 493,4.91,Office Supplies,Labels,Small Box,0.36
228,EcoTones® Memo Sheets,4,Office Supplies,Paper,Wrap Bag,0.37
229,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",70.71,Furniture,Office Furnishings,Wrap Bag,0.78
230,"Eldon® 300 Class™ Desk Accessories, Black",4.95,Furniture,Office Furnishings,Small Box,0.41
231,Super Decoflex Portable Personal File,14.98,Office Supplies,Storage & Organization,Small Box,0.57
232,Staples 6 Outlet Surge,11.97,Office Supplies,Appliances,Small Box,0.58
233,Acco D-Ring Binder w/DublLock®,21.38,Office Supplies,Binders and Binder Accessories,Small Box,0.36
234,Xerox 1948,9.99,Office Supplies,Paper,Small Box,0.40
235,Eldon® 200 Class™ Desk Accessories,6.28,Furniture,Office Furnishings,Small Box,0.53
236,3395,85.99,Technology,Telephones and Communication,Small Box,0.58
237,Newell 309,11.55,Office Supplies,Pens & Art Supplies,Wrap Bag,0.55
238,Document Clip Frames,8.34,Furniture,Office Furnishings,Wrap Bag,0.43
239,Newell 337,3.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
240,Boston 16801 Nautilus™ Battery Pencil Sharpener,22.01,Office Supplies,Pens & Art Supplies,Small Pack,0.59
241,Xerox 221,6.48,Office Supplies,Paper,Small Box,0.37
242,"Tennsco Lockers, Sand",20.98,Office Supplies,Storage & Organization,Jumbo Drum,0.61
243,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.85,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
244,5170,65.99,Technology,Telephones and Communication,Small Box,0.59
245,"Executive Impressions 13"" Clairmont Wall Clock",19.23,Furniture,Office Furnishings,Small Pack,0.44
246,Hon 61000 Series Interactive Training Tables,44.43,Furniture,Tables,Jumbo Box,0.67
247,Avery 493,4.91,Office Supplies,Labels,Small Box,0.36
248,"Boston Model 1800 Electric Pencil Sharpener, Gray",28.15,Office Supplies,Pens & Art Supplies,Small Pack,0.55
249,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,207.48,Office Supplies,Appliances,Small Box,0.55
250,O'Sullivan 3-Shelf Heavy-Duty Bookcases,58.14,Furniture,Bookcases,Jumbo Box,0.61
251,Avery Poly Binder Pockets,3.58,Office Supplies,Binders and Binder Accessories,Small Box,0.37
252,Eldon Pizzaz™ Desk Accessories,2.23,Furniture,Office Furnishings,Small Pack,0.41
253,Bevis 36 x 72 Conference Tables,124.49,Furniture,Tables,Jumbo Box,0.63
254,T60,95.99,Technology,Telephones and Communication,Small Box,0.56
255,StarTAC 6500,125.99,Technology,Telephones and Communication,Small Box,0.59
256,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",28.15,Office Supplies,Pens & Art Supplies,Small Pack,0.57
257,Staples #10 Colored Envelopes,7.78,Office Supplies,Envelopes,Small Box,0.38
258,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,Office Supplies,Binders and Binder Accessories,Small Box,0.35
259,Self-Adhesive Address Labels for Typewriters by Universal,7.31,Office Supplies,Labels,Small Box,0.38
260,Astroparche® Fine Business Paper,5.28,Office Supplies,Paper,Small Box,0.37
261,"Avery® Durable Plastic 1"" Binders",4.54,Office Supplies,Binders and Binder Accessories,Small Box,0.36
262,"Imation IBM Formatted Diskettes, 100/Pack",28.48,Technology,Computer Peripherals,Small Pack,0.70
263,Xerox 1920,5.98,Office Supplies,Paper,Small Box,0.40
264,"Eureka Hand Vacuum, Bagless",49.43,Office Supplies,Appliances,Small Box,0.57
265,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,Furniture,Bookcases,Jumbo Box,0.69
266,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",105.98,Furniture,Office Furnishings,Medium Box,0.65
267,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",7.04,Office Supplies,Paper,Wrap Bag,0.38
268,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,Furniture,Office Furnishings,Small Pack,0.39
269,Large Capacity Hanging Post Binders,24.95,Office Supplies,Binders and Binder Accessories,Small Box,0.39
270,V2397,125.99,Technology,Telephones and Communication,Small Box,0.58
271,Aluminum Document Frame,12.22,Furniture,Office Furnishings,Small Pack,0.55
272,M3682,125.99,Technology,Telephones and Communication,Small Box,0.57
273,Xerox 23,6.48,Office Supplies,Paper,Small Box,0.37
274,Acme® Box Cutter Scissors,10.23,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.59
275,3M Organizer Strips,5.4,Office Supplies,Binders and Binder Accessories,Small Box,0.37
276,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,355.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.64
277,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,Furniture,Tables,Jumbo Box,0.77
278,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,28.99,Technology,Telephones and Communication,Medium Box,0.56
279,Panasonic KX-P1150 Dot Matrix Printer,145.45,Technology,Office Machines,Jumbo Drum,0.56
280,Xerox 1982,22.84,Office Supplies,Paper,Small Box,0.39
281,Avery 479,2.61,Office Supplies,Labels,Small Box,0.39
282,"Fellowes Mobile Numeric Keypad, Graphite",43.22,Technology,Computer Peripherals,Small Box,0.64
283,iDENi80s,65.99,Technology,Telephones and Communication,Small Box,0.59
284,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,320.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
