SALES_ID,CUST_ID,PROD_ID,ORD_ID,SHIPPING_ID,ORD_DATE,SHIP_DATE,PROD_NAME,Process Time Difference,Profit,Sales
72,3011,72,4004,72,06/05/2011,09/05/2011,*Staples* Highlighting Markers,3 days 0 hrs 0 mins ,8.66,90.74
73,3011,73,4004,73,06/05/2011,07/05/2011,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,1 days 0 hrs 0 mins ,195.48,"2,199.64"
74,2382,74,4294,74,14/08/2013,16/08/2013,"Eldon Regeneration Recycled Desk Accessories, Smoke",2 days 0 hrs 0 mins ,-15.34,35.44
75,2548,75,4610,75,17/06/2011,19/06/2011,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",2 days 0 hrs 0 mins ,-17.01,100.32
76,2548,76,4610,76,17/06/2011,21/06/2011,"#10 White Business Envelopes,4 1/8 x 9 1/2",4 days 0 hrs 0 mins ,203.01,678.72
77,667,77,4674,77,18/04/2013,19/04/2013,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",1 days 0 hrs 0 mins ,-260.41,"3,041.33"
78,349,78,4769,78,13/04/2012,14/04/2012,Avery 49,1 days 0 hrs 0 mins ,32.58,131.72
79,699,79,4771,79,13/12/2013,15/12/2013,Hon iLevel™ Computer Training Table,2 days 0 hrs 0 mins ,-126.47,271.86
80,2882,80,4839,80,09/05/2010,09/05/2010,Xerox 227,0 days 0 hrs 0 mins ,-160.38,232.5
81,1488,81,5153,81,25/08/2012,27/08/2012,SAFCO Folding Chair Trolley,2 days 0 hrs 0 mins ,"1,467.82","9,661.51"
82,2107,82,5217,82,12/10/2012,12/10/2012,Belkin 8 Outlet Surge Protector,0 days 0 hrs 0 mins ,22.3,678.7
83,2107,83,5217,83,12/10/2012,14/10/2012,Avery 481,2 days 0 hrs 0 mins ,3.26,67.34
84,1959,84,5346,84,25/12/2011,26/12/2011,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1 days 0 hrs 0 mins ,"-1,926.94","5,434.66"
85,1959,85,5346,85,25/12/2011,27/12/2011,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2 days 0 hrs 0 mins ,"-2,341.56","16,959.30"
86,1959,86,5346,86,25/12/2011,27/12/2011,"Sauder Forest Hills Library, Woodland Oak Finish",2 days 0 hrs 0 mins ,-606.21,"4,166.98"
87,491,87,5441,87,20/07/2013,22/07/2013,Xerox 21,2 days 0 hrs 0 mins ,-92.05,320.23
88,491,88,5441,88,20/07/2013,21/07/2013,Advantus Rolling Storage Box,1 days 0 hrs 0 mins ,6.11,383.52
89,1291,89,5444,89,17/03/2012,19/03/2012,Canon PC940 Copier,2 days 0 hrs 0 mins ,"-2,692.03",885.94
90,198,90,5504,90,05/01/2013,07/01/2013,HP Office Recycled Paper (20Lb. and 87 Bright),2 days 0 hrs 0 mins ,-32.53,57.81
91,198,91,5504,91,05/01/2011,07/01/2011,KF 788,2 days 0 hrs 0 mins ,8.09,606.56
92,272,92,5509,92,07/04/2010,12/04/2010,Staples Brown Kraft Recycled Clasp Envelopes,5 days 0 hrs 0 mins ,-29.9,68.46
93,272,93,5509,93,07/04/2010,14/04/2010,Eldon Executive Woodline II Cherry Finish Desk Accessories,7 days 0 hrs 0 mins ,52.92,885.23
94,1313,94,5543,94,24/09/2011,26/09/2011,Belkin Premiere Surge Master II 8-outlet surge protector,2 days 0 hrs 0 mins ,138.46,"1,266.37"
95,1313,95,5543,95,24/09/2011,27/09/2011,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",3 days 0 hrs 0 mins ,11.06,120.87
96,1313,96,5543,96,24/09/2011,26/09/2011,*Staples* Letter Opener,2 days 0 hrs 0 mins ,-115.38,122.14
97,1413,97,5702,97,06/09/2011,08/09/2011,US Robotics 56K V.92 External Faxmodem,2 days 0 hrs 0 mins ,199.73,"3,670.90"
98,1745,98,5703,98,15/05/2011,16/05/2011,Xerox 1881,1 days 0 hrs 0 mins ,6.99,518.42
99,949,99,5890,99,03/11/2013,04/11/2013,Accessory21,1 days 0 hrs 0 mins ,435.95,"2,924.85"
100,2431,100,5920,100,19/11/2010,19/11/2010,"Dual Level, Single-Width Filing Carts",0 days 0 hrs 0 mins ,-121.75,"2,039.07"
101,1193,101,5984,101,17/06/2013,22/06/2013,Belkin 6 Outlet Metallic Surge Strip,5 days 0 hrs 0 mins ,-31.39,597.26
102,1193,102,5984,102,17/06/2010,22/06/2010,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",5 days 0 hrs 0 mins ,14.48,696.96
103,1193,103,5984,103,17/06/2010,19/06/2010,Staples Plastic Wall Frames,2 days 0 hrs 0 mins ,22.25,149.41
104,1282,104,5986,104,21/04/2013,21/04/2013,"Belkin 325VA UPS Surge Protector, 6'",0 days 0 hrs 0 mins ,"1,638.48","5,556.18"
105,1282,105,5986,105,21/04/2013,22/04/2013,"Global Deluxe Stacking Chair, Gray",1 days 0 hrs 0 mins ,64.81,"1,021.55"
106,1282,106,5986,106,21/04/2013,22/04/2013,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",1 days 0 hrs 0 mins ,-148.77,205.24
107,3106,107,6180,107,11/04/2012,13/04/2012,StarTAC 7760,2 days 0 hrs 0 mins ,590.32,"2,720.99"
108,491,108,6562,108,20/12/2010,22/12/2010,Okidata ML395C Color Dot Matrix Printer,2 days 0 hrs 0 mins ,"2,028.12","31,670.60"
109,1044,109,6950,109,26/03/2013,28/03/2013,Accessory24,2 days 0 hrs 0 mins ,-225.3,187.4
110,962,110,7042,110,08/01/2013,10/01/2013,Bretford Rectangular Conference Table Tops,2 days 0 hrs 0 mins ,-555.46,"1,187.86"
111,2747,111,7078,111,11/04/2011,13/04/2011,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",2 days 0 hrs 0 mins ,-8.45,112.12
112,2747,112,7078,112,11/04/2011,12/04/2011,Cardinal Poly Pocket Divider Pockets for Ring Binders,1 days 0 hrs 0 mins ,-47.02,49.58
113,2747,113,7078,113,11/04/2011,13/04/2011,"Global High-Back Leather Tilter, Burgundy",2 days 0 hrs 0 mins ,-885.73,"1,939.65"
114,2747,114,7078,114,11/04/2011,12/04/2011,"GE 4 Foot Flourescent Tube, 40 Watt",1 days 0 hrs 0 mins ,65.35,465.52
115,478,115,7079,115,08/02/2011,09/02/2011,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1 days 0 hrs 0 mins ,-416.7,"12,296.49"
116,478,116,7079,116,08/02/2011,10/02/2011,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",2 days 0 hrs 0 mins ,-34.91,128.13
117,3075,117,7107,117,04/01/2013,04/01/2013,Eldon Advantage® Foldable Chair Mats for Low Pile Carpets,0 days 0 hrs 0 mins ,57.23,172.04
118,3075,118,7107,118,04/01/2013,06/01/2013,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",2 days 0 hrs 0 mins ,-33.97,113.14
119,3075,119,7107,119,04/01/2013,05/01/2013,Recycled Steel Personal File for Standard File Folders,1 days 0 hrs 0 mins ,163.12,"1,886.52"
120,553,120,7142,120,21/07/2012,23/07/2012,Avery 501,2 days 0 hrs 0 mins ,57,180.84
121,2867,121,7203,121,08/01/2013,10/01/2013,GBC DocuBind TL300 Electric Binding System,2 days 0 hrs 0 mins ,"3,718.54","24,362.25"
122,2238,122,7335,122,29/05/2011,03/06/2011,T60,5 days 0 hrs 0 mins ,"1,196.44","5,308.57"
123,2189,123,7364,123,08/05/2010,10/05/2010,Brown Kraft Recycled Envelopes,2 days 0 hrs 0 mins ,-48.57,381.91
124,2882,124,7619,124,08/10/2011,09/10/2011,"Maxell Pro 80 Minute CD-R, 10/Pack",1 days 0 hrs 0 mins ,-32.56,248.1
125,3011,125,7623,125,28/10/2010,30/10/2010,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2 days 0 hrs 0 mins ,"1,282.50","9,705.46"
126,3011,126,7623,126,28/10/2010,30/10/2010,US Robotics 56K V.92 Internal PCI Faxmodem,2 days 0 hrs 0 mins ,17.2,"3,247.54"
127,3011,127,7623,127,28/10/2010,29/10/2010,Xerox 1941,1 days 0 hrs 0 mins ,"1,184.12","5,582.63"
128,181,128,7751,128,23/12/2013,24/12/2013,Global Deluxe Office Fabric Chairs,1 days 0 hrs 0 mins ,-768.14,"9,095.80"
129,117,129,7909,129,03/01/2010,04/01/2010,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",1 days 0 hrs 0 mins ,9.82,122.23
130,1733,130,8000,130,19/09/2011,21/09/2011,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",2 days 0 hrs 0 mins ,-26.81,268.65
131,1733,131,8000,131,19/09/2011,21/09/2011,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2 days 0 hrs 0 mins ,-7.61,20.28
132,640,132,8001,132,19/11/2011,21/11/2011,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",2 days 0 hrs 0 mins ,-81.08,128.18
133,640,133,8001,133,19/11/2011,21/11/2011,Acco Perma® 3000 Stacking Storage Drawers,2 days 0 hrs 0 mins ,112.22,"3,607.56"
134,1488,134,8131,134,03/05/2011,03/05/2011,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",0 days 0 hrs 0 mins ,191.29,"1,046.05"
135,553,135,8165,135,15/10/2010,24/10/2010,Xerox 1922,9 days 0 hrs 0 mins ,-179.59,330.21
136,949,136,8257,136,22/03/2013,22/03/2013,Epson DFX5000+ Dot Matrix Printer,0 days 0 hrs 0 mins ,"-2,561.32","7,486.09"
137,949,137,8257,137,22/03/2010,26/03/2010,Xerox 1910,4 days 0 hrs 0 mins ,373.67,881.32
138,949,138,8257,138,22/03/2013,29/03/2013,Newell 320,7 days 0 hrs 0 mins ,-6.2,22.77
139,491,139,8353,139,15/05/2013,17/05/2013,"Imation 3.5 IBM Formatted Diskettes, 10/Box",2 days 0 hrs 0 mins ,-36.63,371.28
140,491,140,8353,140,15/05/2010,17/05/2010,Newell 343,2 days 0 hrs 0 mins ,-2.12,66.7
141,2498,141,8419,141,29/09/2012,01/10/2012,Xerox 1936,2 days 0 hrs 0 mins ,70.39,716.71
142,2498,142,8419,142,29/09/2012,30/09/2012,Xerox 214,1 days 0 hrs 0 mins ,-86.62,298.84
143,2498,143,8833,143,04/05/2013,08/05/2013,Carina Double Wide Media Storage Towers in Natural & Black,4 days 0 hrs 0 mins ,-846.73,"4,340.67"
144,698,144,8994,144,07/04/2010,09/04/2010,Keytronic Designer 104- Key Black Keyboard,2 days 0 hrs 0 mins ,-580.32,"1,423.35"
145,1193,145,9062,145,20/03/2012,21/03/2012,Staples Vinyl Coated Paper Clips,1 days 0 hrs 0 mins ,30.61,134.1
146,1193,146,9062,146,20/03/2012,23/03/2012,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",3 days 0 hrs 0 mins ,"1,193.19","2,017.57"
147,949,147,9285,147,02/01/2010,04/01/2010,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",2 days 0 hrs 0 mins ,-19.1,124.81
148,699,148,9344,148,06/12/2012,08/12/2012,Safco Industrial Wire Shelving,2 days 0 hrs 0 mins ,-505.69,"3,466.20"
149,699,149,9344,149,06/12/2012,06/12/2012,SC7868i,0 days 0 hrs 0 mins ,900.41,"6,897.29"
150,3342,150,9409,150,05/05/2013,07/05/2013,Adesso Programmable 142-Key Keyboard,2 days 0 hrs 0 mins ,-390.77,"2,283.55"
151,2867,151,9476,151,25/05/2013,27/05/2013,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",2 days 0 hrs 0 mins ,-66.59,214.55
152,898,152,9606,152,27/07/2010,27/07/2010,Round Specialty Laser Printer Labels,0 days 0 hrs 0 mins ,263.4,594.44
153,898,153,9606,153,27/07/2010,29/07/2010,Array® Memo Cubes,2 days 0 hrs 0 mins ,37.31,228.5
154,1193,154,9894,154,18/03/2013,20/03/2013,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,2 days 0 hrs 0 mins ,103.83,"5,403.75"
155,21,155,9895,155,20/04/2011,24/04/2011,"Dixon My First Ticonderoga Pencil, #2",4 days 0 hrs 0 mins ,-6.82,54.79
156,1413,156,10080,156,12/02/2011,19/02/2011,Fellowes 17-key keypad for PS/2 interface,7 days 0 hrs 0 mins ,-26.83,637.04
157,2920,157,10081,157,07/08/2011,08/08/2011,"Seth Thomas 8 1/2"" Cubicle Clock",1 days 0 hrs 0 mins ,245,"1,900.85"
158,1630,158,10147,158,09/10/2011,10/10/2011,Storex DuraTech Recycled Plastic Frosted Binders,1 days 0 hrs 0 mins ,-87.49,175.91
159,1129,159,10247,159,10/01/2011,11/01/2011,Xerox 1952,1 days 0 hrs 0 mins ,-85.33,111.66
160,1129,160,10247,160,10/01/2011,12/01/2011,"Memorex Slim 80 Minute CD-R, 10/Pack",2 days 0 hrs 0 mins ,17.66,231.95
161,1413,161,10277,161,07/04/2010,08/04/2010,g520,1 days 0 hrs 0 mins ,542.25,"2,144.92"
162,2882,162,10373,162,25/06/2011,27/06/2011,Xerox 21,2 days 0 hrs 0 mins ,-95.4,289.74
163,1280,163,10435,163,10/08/2011,12/08/2011,Boston KS Multi-Size Manual Pencil Sharpener,2 days 0 hrs 0 mins ,-14.31,"1,559.08"
164,1280,164,10435,164,10/08/2013,11/08/2013,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",1 days 0 hrs 0 mins ,-162.24,"1,075.74"
165,491,165,10464,165,10/08/2010,11/08/2010,Xerox 1897,1 days 0 hrs 0 mins ,-69.07,217
166,1959,166,10470,166,04/05/2013,09/05/2013,"Eldon® Expressions™ Wood Desk Accessories, Oak",5 days 0 hrs 0 mins ,-126.06,324.6
167,3121,167,10567,167,29/03/2013,30/03/2013,Bevis Round Conference Table Top & Single Column Base,1 days 0 hrs 0 mins ,-146.29,"1,111.01"
168,894,168,10624,168,20/12/2013,22/12/2013,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",2 days 0 hrs 0 mins ,23.97,"2,164.86"
169,2382,169,10819,169,24/08/2011,24/08/2011,Xerox 1905,0 days 0 hrs 0 mins ,-197.39,420.1
170,2842,170,10919,170,27/03/2011,27/03/2011,Tennsco Industrial Shelving,0 days 0 hrs 0 mins ,"-1,231.87","2,040.95"
171,2382,171,10944,171,12/11/2012,14/11/2012,Canon P1-DHIII Palm Printing Calculator,2 days 0 hrs 0 mins ,-27.47,625.72
172,272,172,10949,172,30/03/2013,31/03/2013,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,1 days 0 hrs 0 mins ,169.36,"3,449.26"
173,3106,173,10982,173,10/12/2013,11/12/2013,Flexible Leather- Look Classic Collection Ring Binder,1 days 0 hrs 0 mins ,225.2,"1,076.54"
174,3106,174,10982,174,10/12/2013,12/12/2013,GBC Therma-A-Bind 250T Electric Binding System,2 days 0 hrs 0 mins ,"1,236.36","7,330.82"
175,3106,175,10982,175,10/12/2013,12/12/2013,OIC Thumb-Tacks,2 days 0 hrs 0 mins ,2.81,41.9
176,2867,176,11013,176,17/04/2010,18/04/2010,M70,1 days 0 hrs 0 mins ,-582.65,226.88
177,640,177,11077,177,20/03/2010,24/03/2010,Rush Hierlooms Collection Rich Wood Bookcases,4 days 0 hrs 0 mins ,-229.68,"4,620.05"
178,1193,178,11206,178,28/12/2010,30/12/2010,Zoom V.92 USB External Faxmodem,2 days 0 hrs 0 mins ,-17.03,"2,373.32"
179,1193,179,11206,179,28/12/2010,01/01/2011,Lock-Up Easel 'Spel-Binder',4 days 0 hrs 0 mins ,39.63,325.73
180,2571,180,11425,180,22/06/2012,23/06/2012,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",1 days 0 hrs 0 mins ,-16.59,799.3
181,2571,181,11425,181,22/06/2012,24/06/2012,CF 688,2 days 0 hrs 0 mins ,383.45,"4,906.36"
182,563,182,11460,182,24/08/2011,26/08/2011,Avery 487,2 days 0 hrs 0 mins ,37.79,184.03
183,349,183,11527,183,02/07/2010,04/07/2010,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2 days 0 hrs 0 mins ,"1,916.68","5,555.60"
184,1228,184,11651,184,22/02/2012,24/02/2012,Newell 329,2 days 0 hrs 0 mins ,3.9,72.78
185,1313,185,11683,185,07/02/2013,07/02/2013,i1000,0 days 0 hrs 0 mins ,335.08,"1,650.41"
186,2491,186,11712,186,26/04/2010,28/04/2010,Newell 336,2 days 0 hrs 0 mins ,0.37,38.96
187,102,187,11779,187,29/06/2011,01/07/2011,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",2 days 0 hrs 0 mins ,86.6,470.11
188,102,188,11779,188,29/06/2011,30/06/2011,Micro Innovations 104 Keyboard,1 days 0 hrs 0 mins ,-172.34,684.66
189,3289,189,11808,189,31/07/2013,01/08/2013,"Iceberg OfficeWorks 42"" Round Tables",1 days 0 hrs 0 mins ,25.21,148.34
190,3289,190,11874,190,09/09/2013,11/09/2013,"Fellowes Internet Keyboard, Platinum",2 days 0 hrs 0 mins ,-82.13,80.58
191,3289,191,11874,191,09/09/2013,09/09/2013,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",0 days 0 hrs 0 mins ,179.37,"1,629.12"
192,1745,192,11876,192,03/07/2012,06/07/2012,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3 days 0 hrs 0 mins ,"1,144.92","6,771.68"
193,698,193,11968,193,16/03/2012,16/03/2012,Avery Hi-Liter® Fluorescent Desk Style Markers,0 days 0 hrs 0 mins ,26.09,123.62
