Sales,State or Province,City
885.23,North Carolina,Charlotte
1266.37,Pennsylvania,Philadelphia
120.87,Pennsylvania,Philadelphia
122.14,Pennsylvania,Philadelphia
3670.9,Massachusetts,Boston
518.42,Georgia,Atlanta
2924.85,California,Los Angeles
2039.07,California,Los Angeles
597.26,District of Columbia,Washington
696.96,District of Columbia,Washington
149.41,District of Columbia,Washington
5556.18,Pennsylvania,Philadelphia
1021.55,Pennsylvania,Philadelphia
205.24,Pennsylvania,Philadelphia
2720.99,Texas,Houston
31670.6,New York,New York City
187.4,California,Los Angeles
1187.86,Illinois,Chicago
112.12,New York,New York City
49.58,New York,New York City
1939.65,New York,New York City
465.52,New York,New York City
12296.49,New York,New York City
128.13,New York,New York City
172.04,California,Los Angeles
113.14,California,Los Angeles
1886.52,California,Los Angeles
180.84,California,Los Angeles
24362.25,District of Columbia,Washington
5308.57,Pennsylvania,Philadelphia
381.91,New York,New York City
248.1,North Carolina,Charlotte
9705.46,Massachusetts,Boston
3247.54,Massachusetts,Boston
5582.63,Massachusetts,Boston
9095.8,California,San Francisco
122.23,Washington,Seattle
268.65,District of Columbia,Washington
20.28,District of Columbia,Washington
128.18,Washington,Seattle
3607.56,Washington,Seattle
1046.05,New York,New York City
330.21,California,Los Angeles
7486.09,California,Los Angeles
881.32,California,Los Angeles
22.77,California,Los Angeles
371.28,New York,New York City
66.7,New York,New York City
716.71,California,San Diego
298.84,California,San Diego
4340.67,California,San Diego
1423.35,Washington,Seattle
134.1,District of Columbia,Washington
2017.57,District of Columbia,Washington
124.81,California,Los Angeles
3466.2,California,Los Angeles
6897.29,California,Los Angeles
2283.55,District of Columbia,Washington
214.55,District of Columbia,Washington
594.44,New York,New York City
228.5,New York,New York City
5403.75,District of Columbia,Washington
54.79,New York,New York City
637.04,Massachusetts,Boston
1900.85,Illinois,Chicago
175.91,Texas,Houston
111.66,Massachusetts,Boston
231.95,Massachusetts,Boston
2144.92,Massachusetts,Boston
289.74,North Carolina,Charlotte
1559.08,Washington,Seattle
1075.74,Washington,Seattle
217,New York,New York City
324.6,Florida,Miami
1111.01,New York,New York City
2164.86,District of Columbia,Washington
420.1,New York,New York City
2040.95,California,Los Angeles
625.72,New York,New York City
3449.26,North Carolina,Charlotte
1076.54,Texas,Houston
7330.82,Texas,Houston
41.9,Texas,Houston
226.88,District of Columbia,Washington
4620.05,Washington,Seattle
2373.32,District of Columbia,Washington
325.73,District of Columbia,Washington
799.3,New York,New York City
4906.36,New York,New York City
184.03,Texas,Dallas
5555.6,Florida,Miami
72.78,Pennsylvania,Philadelphia
1650.41,Pennsylvania,Philadelphia
38.96,California,Los Angeles
470.11,Massachusetts,Boston
684.66,Massachusetts,Boston
148.34,California,Los Angeles
80.58,California,Los Angeles
1629.12,California,Los Angeles
6771.68,Georgia,Atlanta
123.62,Washington,Seattle
9704.1,Illinois,Chicago
605.82,Georgia,Atlanta
1569,Georgia,Atlanta
235.94,Georgia,Atlanta
1078.42,California,Los Angeles
1483.76,Pennsylvania,Philadelphia
345.69,California,San Francisco
88.79,California,Los Angeles
109.21,California,Los Angeles
767.31,California,Los Angeles
60.21,Illinois,Chicago
9.37,Illinois,Chicago
192.28,Massachusetts,Boston
286.62,Massachusetts,Boston
915.6,Texas,Houston
5916.75,Texas,Houston
3911.34,Massachusetts,Boston
18124.88,Illinois,Chicago
3325.14,Illinois,Chicago
1135.76,Texas,Dallas
256.77,Georgia,Atlanta
1766.95,Illinois,Chicago
168.48,Washington,Seattle
352.2,Michigan,Detroit
33.94,Massachusetts,Boston
8155.51,Massachusetts,Boston
1645.82,Georgia,Atlanta
109.86,New York,New York City
2062.06,Georgia,Atlanta
168.2,Georgia,Atlanta
1337.67,Pennsylvania,Philadelphia
5704.74,Georgia,Atlanta
406.91,Massachusetts,Boston
228.46,Washington,Seattle
77.61,Washington,Seattle
4310.92,Florida,Miami
360.54,Michigan,Detroit
1253.92,Michigan,Detroit
472.62,Michigan,Detroit
711.1,Massachusetts,Boston
498.16,Massachusetts,Boston
284.48,Illinois,Chicago
6592.12,Illinois,Chicago
395.45,Michigan,Detroit
199.12,District of Columbia,Washington
63.14,District of Columbia,Washington
769.85,Illinois,Chicago
303.42,District of Columbia,Washington
959.38,District of Columbia,Washington
111.48,Pennsylvania,Philadelphia
2322.81,Pennsylvania,Philadelphia
84.6,California,Los Angeles
2009.05,New York,New York City
170.75,California,Los Angeles
1339.42,California,Los Angeles
9062.73,Texas,Dallas
1584.1,Texas,Dallas
174.9,California,San Diego
103.8,California,San Diego
2557.51,California,San Diego
947.97,New York,New York City
1685.94,California,Los Angeles
2400.26,Massachusetts,Boston
458.86,Massachusetts,Boston
11938.4,Florida,Miami
305.12,Florida,Miami
257.25,California,Los Angeles
183,California,Los Angeles
965.16,California,Los Angeles
354.4,Washington,Seattle
3414.57,Michigan,Detroit
2041.6,California,San Francisco
4135.88,California,San Francisco
28.05,California,San Francisco
666.4,Texas,Houston
1411.9,Texas,Houston
6755.63,California,San Diego
507.36,California,San Diego
3604.71,Pennsylvania,Philadelphia
537.22,Michigan,Detroit
343,Michigan,Detroit
174.46,California,Los Angeles
10554.63,California,San Diego
1749.64,California,San Diego
936.8,North Carolina,Charlotte
6258.27,Massachusetts,Boston
289.61,California,San Diego
191.42,Washington,Seattle
251.06,District of Columbia,Washington
1539.96,District of Columbia,Washington
759.6,North Carolina,Charlotte
161.55,North Carolina,Charlotte
267.53,California,Los Angeles
1168.35,California,Los Angeles
2875.06,District of Columbia,Washington
69.32,Texas,Houston
212.89,Florida,Miami
191.93,Washington,Seattle
7.01,Illinois,Chicago
156.38,New York,New York City
473.88,New York,New York City
950.91,New York,New York City
335.49,Georgia,Atlanta
6608.24,California,Los Angeles
112.26,Massachusetts,Boston
2744.4,Massachusetts,Boston
565.16,California,Los Angeles
45.87,Georgia,Atlanta
10303.73,New York,New York City
872.68,New York,New York City
626.46,California,Los Angeles
8686.35,California,Los Angeles
1745.16,Florida,Miami
13253.93,California,Los Angeles
37.05,Pennsylvania,Philadelphia
576.59,California,San Diego
3008.5,Washington,Seattle
48.08,Massachusetts,Boston
2495.08,Massachusetts,Boston
327.61,Washington,Seattle
1538.63,California,Los Angeles
128.87,California,Los Angeles
8246.86,Washington,Seattle
200.64,Pennsylvania,Philadelphia
558.65,District of Columbia,Washington
1078.41,District of Columbia,Washington
480.48,Illinois,Chicago
10671.2,Washington,Seattle
2109.51,Washington,Seattle
6013.69,Washington,Seattle
1358.78,Washington,Seattle
388.52,New York,New York City
2092.05,New York,New York City
9375.35,New York,New York City
131.53,Illinois,Chicago
4025.6,Illinois,Chicago
148.36,California,San Diego
8119.28,California,San Diego
3240.93,California,San Diego
534.45,California,San Diego
2222.71,California,San Diego
59.09,California,Los Angeles
992.01,Texas,Dallas
318.47,Texas,Dallas
1619.3,Texas,Dallas
642.05,New York,New York City
8676.63,New York,New York City
670.39,Illinois,Chicago
1221.92,Florida,Miami
1968.73,Washington,Seattle
2700.43,Washington,Seattle
539.07,California,Los Angeles
2819.81,California,Los Angeles
8549.04,District of Columbia,Washington
77.55,District of Columbia,Washington
169.48,North Carolina,Charlotte
2450.07,California,Los Angeles
682.68,New York,New York City
73.44,New York,New York City
2997.07,New York,New York City
2210.86,Georgia,Atlanta
79.11,California,Los Angeles
7497.05,North Carolina,Charlotte
418.66,New York,New York City
1203.1,District of Columbia,Washington
832.14,Texas,Dallas
484.67,Pennsylvania,Philadelphia
100.61,Pennsylvania,Philadelphia
249.93,Pennsylvania,Philadelphia
587.67,Washington,Seattle
402.36,Illinois,Chicago
187.84,California,Los Angeles
240.6,California,Los Angeles
236.88,California,Los Angeles
51.75,New York,New York City
280.74,California,Los Angeles
11843.48,California,Los Angeles
136.32,California,Los Angeles
197.65,New York,New York City
8048.45,California,Los Angeles
1713.8,Michigan,Detroit
116.69,Michigan,Detroit
1191.73,Washington,Seattle
2383.74,California,San Francisco
371.01,California,Los Angeles
10364.36,New York,New York City
393.81,North Carolina,Charlotte
21390.44,Florida,Miami
169.75,Florida,Miami
1939.03,California,Los Angeles
457.63,California,Los Angeles
152.37,Florida,Miami
1893.37,Florida,Miami
140.9,California,Los Angeles
9539.6,Michigan,Detroit
109.86,Michigan,Detroit
1426.51,Michigan,Detroit
8717.75,California,San Francisco
18407.67,Washington,Seattle
338.22,New York,New York City
282.85,New York,New York City
28.11,Washington,Seattle
30.93,Washington,Seattle
208.73,Texas,Dallas
180.79,California,Los Angeles
883.31,Illinois,Chicago
201.65,Pennsylvania,Philadelphia
199.08,California,Los Angeles
2943.69,New York,New York City
515.43,Michigan,Detroit
1561.22,Michigan,Detroit
141.82,North Carolina,Charlotte
6983.56,North Carolina,Charlotte
36532.46,New York,New York City
1668.07,New York,New York City
438,Florida,Miami
49.43,California,San Francisco
452.46,Georgia,Atlanta
35.48,New York,New York City
259.74,New York,New York City
695.92,California,Los Angeles
1045.75,Michigan,Detroit
6445.84,Michigan,Detroit
571.35,New York,New York City
475.42,Florida,Miami
3598.82,Florida,Miami
41.22,Florida,Miami
540.46,New York,New York City
1287.53,New York,New York City
325.81,Michigan,Detroit
188.39,Massachusetts,Boston
2396.88,California,Los Angeles
330.67,California,Los Angeles
2302.72,California,Los Angeles
10.23,California,Los Angeles
554.93,California,Los Angeles
1012.78,Illinois,Chicago
330.06,Illinois,Chicago
166.27,Illinois,Chicago
1711.44,California,Los Angeles
613.65,California,Los Angeles
220.48,Georgia,Atlanta
94.07,Georgia,Atlanta
279.27,Georgia,Atlanta
98.74,California,Los Angeles
2585.97,New York,New York City
303.4,New York,New York City
1206.69,District of Columbia,Washington
1541.06,District of Columbia,Washington
2710.47,California,Los Angeles
8354.73,California,Los Angeles
48418.58,New York,New York City
568.31,New York,New York City
1612.93,Florida,Miami
3840.27,California,Los Angeles
2457.3,California,Los Angeles
926.92,Illinois,Chicago
19567.99,Texas,Dallas
7294.4,Texas,Dallas
524.26,Texas,Dallas
9492.92,New York,New York City
818.85,New York,New York City
223.09,California,Los Angeles
73.9,California,Los Angeles
141.87,New York,New York City
761.87,California,Los Angeles
13546.94,California,Los Angeles
6401.65,California,Los Angeles
206.04,Florida,Miami
161.61,Pennsylvania,Philadelphia
1120.06,Illinois,Chicago
119.63,Texas,Houston
177.92,Texas,Houston
72.8,California,Los Angeles
352.7,California,Los Angeles
1650.19,Illinois,Chicago
419.23,Illinois,Chicago
5679.59,California,Los Angeles
65.94,New York,New York City
204.49,Michigan,Detroit
107.36,Illinois,Chicago
422.6,Illinois,Chicago
78.17,North Carolina,Charlotte
131.52,North Carolina,Charlotte
5261,New York,New York City
502.34,New York,New York City
1234.44,North Carolina,Charlotte
6654.39,Pennsylvania,Philadelphia
4429.69,Pennsylvania,Philadelphia
4556.63,District of Columbia,Washington
300.66,District of Columbia,Washington
2948.61,District of Columbia,Washington
3049.63,North Carolina,Charlotte
1274.95,North Carolina,Charlotte
668.98,California,Los Angeles
3986.34,North Carolina,Charlotte
1511.7,Texas,Dallas
30.35,District of Columbia,Washington
231.13,Washington,Seattle
448.26,California,Los Angeles
346.83,Washington,Seattle
16718.7,Washington,Seattle
277.24,Florida,Miami
12883.06,New York,New York City
8667.81,New York,New York City
5155.07,New York,New York City
28.8,Washington,Seattle
92.89,Texas,Dallas
790.08,California,Los Angeles
214.58,California,Los Angeles
2095.83,Michigan,Detroit
919.49,New York,New York City
433.54,New York,New York City
63.78,New York,New York City
451.61,New York,New York City
402.74,Illinois,Chicago
1594.12,New York,New York City
1005.26,New York,New York City
13.42,New York,New York City
161.02,Washington,Seattle
338.71,North Carolina,Charlotte
198.31,Texas,Dallas
342.87,California,Los Angeles
581.5,California,San Diego
1743.79,California,San Diego
3830.88,California,San Diego
105.85,California,Los Angeles
179.33,California,Los Angeles
764.75,California,Los Angeles
192.21,New York,New York City
5166.41,District of Columbia,Washington
8163.19,District of Columbia,Washington
427.59,Texas,Dallas
2434.12,North Carolina,Charlotte
311.66,Massachusetts,Boston
9862.51,Massachusetts,Boston
900.56,Texas,Houston
729.2,New York,New York City
77.01,Pennsylvania,Philadelphia
111.83,Pennsylvania,Philadelphia
6552.9,Pennsylvania,Philadelphia
3507.5,California,Los Angeles
5008.76,Florida,Miami
13.53,Florida,Miami
3973.43,District of Columbia,Washington
210.1,California,Los Angeles
6499.87,California,Los Angeles
5277.58,Washington,Seattle
90.88,Washington,Seattle
167.53,California,Los Angeles
2288.15,Michigan,Detroit
32510.21,Michigan,Detroit
1834.61,California,San Diego
367.46,Illinois,Chicago
187.97,Illinois,Chicago
289.65,Illinois,Chicago
362.01,Illinois,Chicago
322.03,Washington,Seattle
2470.84,Washington,Seattle
15.26,Washington,Seattle
5250.66,Washington,Seattle
86.1,California,Los Angeles
298.11,California,Los Angeles
8790.83,New York,New York City
14683.92,Texas,Dallas
631.14,California,Los Angeles
2514.69,California,Los Angeles
218.49,California,Los Angeles
13257.34,New York,New York City
567.41,Texas,Dallas
191.85,District of Columbia,Washington
213.48,Washington,Seattle
4504.21,Washington,Seattle
318.32,Washington,Seattle
153.01,California,San Diego
763.65,Illinois,Chicago
573.31,New York,New York City
140.23,New York,New York City
665.9,California,Los Angeles
19706,Washington,Seattle
343.07,North Carolina,Charlotte
511.35,Florida,Miami
103.39,New York,New York City
435.39,New York,New York City
26.68,Washington,Seattle
2251.91,California,Los Angeles
377.75,Texas,Dallas
219.98,Texas,Dallas
358.93,California,San Francisco
3356.48,California,San Francisco
585.62,California,San Francisco
185.06,New York,New York City
1977.29,New York,New York City
809.51,New York,New York City
2034.4,Pennsylvania,Philadelphia
19.6,Illinois,Chicago
182.05,Illinois,Chicago
1988.22,Illinois,Chicago
207.63,New York,New York City
102.32,California,Los Angeles
565.01,New York,New York City
180.79,California,Los Angeles
4410.92,California,Los Angeles
5941.63,California,Los Angeles
150.24,New York,New York City
86.52,New York,New York City
341.1,New York,New York City
1821.96,California,Los Angeles
8236.74,Pennsylvania,Philadelphia
281,Pennsylvania,Philadelphia
250,California,Los Angeles
250,North Carolina,Charlotte
5060.79,North Carolina,Charlotte
68.73,New York,New York City
190.52,Washington,Seattle
538.3,Georgia,Atlanta
836.47,North Carolina,Charlotte
5516.44,North Carolina,Charlotte
189.83,North Carolina,Charlotte
178.99,New York,New York City
1667.34,New York,New York City
78.02,California,Los Angeles
124.06,California,Los Angeles
9537.18,California,Los Angeles
235.54,California,Los Angeles
564.98,New York,New York City
129.48,New York,New York City
71.59,Pennsylvania,Philadelphia
19554.5,Pennsylvania,Philadelphia
3566.77,Pennsylvania,Philadelphia
274.26,California,Los Angeles
83.16,California,Los Angeles
261.93,California,Los Angeles
261.05,New York,New York City
557.17,New York,New York City
52.26,Texas,Houston
204.11,North Carolina,Charlotte
1838,Illinois,Chicago
132.02,California,Los Angeles
1801.44,New York,New York City
473.46,Massachusetts,Boston
5083.23,California,Los Angeles
31.86,California,Los Angeles
7945.9,California,Los Angeles
100119.16,California,Los Angeles
1031.23,California,Los Angeles
813.66,California,Los Angeles
571.93,California,Los Angeles
169.19,California,Los Angeles
40136.93,Florida,Miami
1239.06,New York,New York City
4083.19,New York,New York City
4902.38,New York,New York City
19.96,New York,New York City
148.99,New York,New York City
70.66,New York,New York City
6781.02,California,Los Angeles
447.89,Illinois,Chicago
280.62,Washington,Seattle
5546.06,Washington,Seattle
29.03,New York,New York City
304.65,Washington,Seattle
27587.55,California,Los Angeles
1191.58,California,Los Angeles
414.1,New York,New York City
850.64,New York,New York City
204.96,Florida,Miami
225.98,Illinois,Chicago
901.81,California,San Francisco
236.19,California,Los Angeles
224.74,District of Columbia,Washington
44.85,District of Columbia,Washington
3704.35,Illinois,Chicago
994.4,New York,New York City
517.85,District of Columbia,Washington
728.03,New York,New York City
14642.66,Florida,Miami
3204.73,Florida,Miami
3355.1,California,Los Angeles
2864.55,California,Los Angeles
65.61,California,Los Angeles
9666.72,Illinois,Chicago
134.58,Illinois,Chicago
412.72,New York,New York City
663.96,California,Los Angeles
44.51,New York,New York City
397.44,Florida,Miami
607.94,Illinois,Chicago
1332.09,Massachusetts,Boston
912.06,North Carolina,Charlotte
5689.28,North Carolina,Charlotte
1800.11,Massachusetts,Boston
1108.2,California,Los Angeles
4126.07,California,Los Angeles
8583.39,Massachusetts,Boston
474.83,Massachusetts,Boston
292.58,Massachusetts,Boston
204.34,Massachusetts,Boston
2188.06,California,San Diego
471.92,Georgia,Atlanta
9464.39,Washington,Seattle
3825.05,Washington,Seattle
1964.4,Washington,Seattle
1336.35,North Carolina,Charlotte
8332.91,Florida,Miami
21.33,California,Los Angeles
292.49,Florida,Miami
3438.06,Washington,Seattle
25717.76,Florida,Miami
293.38,Florida,Miami
304.04,California,Los Angeles
167.91,California,Los Angeles
1359.41,California,Los Angeles
1720.12,New York,New York City
3713.93,New York,New York City
382.29,California,Los Angeles
881.74,California,Los Angeles
22.61,California,Los Angeles
7384.18,California,Los Angeles
798.04,New York,New York City
66.05,New York,New York City
656.48,Illinois,Chicago
22908.3,Illinois,Chicago
233.18,Illinois,Chicago
32589.59,Illinois,Chicago
1737.86,Texas,Dallas
1110.11,Texas,Dallas
6910.46,Texas,Dallas
4348.55,California,Los Angeles
2037.69,Pennsylvania,Philadelphia
423.3,Massachusetts,Boston
242.65,New York,New York City
66.26,Washington,Seattle
3596.04,Washington,Seattle
72.15,Florida,Miami
138.24,Massachusetts,Boston
10588.96,Michigan,Detroit
761.67,Michigan,Detroit
5014.07,Michigan,Detroit
7325.68,Pennsylvania,Philadelphia
269.95,Pennsylvania,Philadelphia
783.68,Pennsylvania,Philadelphia
3555.35,Pennsylvania,Philadelphia
1876.69,New York,New York City
4801.52,Illinois,Chicago
292.35,Illinois,Chicago
727.43,Illinois,Chicago
12702.85,California,Los Angeles
197.96,New York,New York City
125.43,California,San Francisco
1572.52,Texas,Houston
1356.45,Massachusetts,Boston
250.75,Massachusetts,Boston
313.05,Massachusetts,Boston
161.28,Massachusetts,Boston
200.7,Massachusetts,Boston
29.66,New York,New York City
9459.94,Massachusetts,Boston
222.55,Texas,Houston
2404.51,California,Los Angeles
39.8,California,Los Angeles
73.71,California,Los Angeles
814.36,California,Los Angeles
239.82,New York,New York City
35147.33,Pennsylvania,Philadelphia
293.06,New York,New York City
914.29,New York,New York City
1867.65,New York,New York City
2230.19,New York,New York City
1420.84,Illinois,Chicago
308.86,Illinois,Chicago
2172.93,New York,New York City
7.75,New York,New York City
2205.76,New York,New York City
1760.94,California,San Diego
383.98,Michigan,Detroit
812.96,Washington,Seattle
471.62,Washington,Seattle
71.69,California,Los Angeles
8262.68,Texas,Houston
4630.26,Texas,Houston
883.63,Texas,Houston
4259.27,Texas,Houston
437.21,Texas,Houston
19.88,Texas,Houston
662.23,Michigan,Detroit
221.74,Massachusetts,Boston
224.95,Massachusetts,Boston
320.93,California,San Diego
261.85,California,San Diego
1361.95,California,Los Angeles
11823.52,New York,New York City
80.81,New York,New York City
6276.34,Illinois,Chicago
2664.4,Illinois,Chicago
8396.02,Illinois,Chicago
5006.28,Washington,Seattle
207.8,Florida,Miami
660.54,New York,New York City
32.5,California,Los Angeles
53.6,Massachusetts,Boston
25712.3,California,Los Angeles
328.15,California,Los Angeles
2813.6,New York,New York City
1095.23,New York,New York City
47.03,California,Los Angeles
1912.98,Washington,Seattle
4170.87,Washington,Seattle
128.61,District of Columbia,Washington
3107.73,District of Columbia,Washington
197.91,District of Columbia,Washington
1055.98,North Carolina,Charlotte
484.56,Massachusetts,Boston
174.66,Massachusetts,Boston
1106.23,Michigan,Detroit
12585.74,Michigan,Detroit
1506.54,Michigan,Detroit
3849.17,District of Columbia,Washington
1321.44,California,Los Angeles
204.64,Washington,Seattle
2373.54,Michigan,Detroit
11272.77,Texas,Dallas
54.88,Texas,Houston
754.85,New York,New York City
556.49,New York,New York City
1622.03,Washington,Seattle
3085.78,Washington,Seattle
918.08,Washington,Seattle
1961.35,Washington,Seattle
1320.74,Washington,Seattle
800.39,California,Los Angeles
1477.57,California,Los Angeles
7623.31,Texas,Houston
1334.87,Texas,Houston
922.2,Texas,Houston
174.1,New York,New York City
693.17,New York,New York City
8216.28,New York,New York City
130.11,New York,New York City
337.34,New York,New York City
280.43,New York,New York City
643.64,New York,New York City
244.31,New York,New York City
466.58,New York,New York City
2290.69,New York,New York City
12002.16,New York,New York City
374.26,Florida,Miami
291.52,Michigan,Detroit
9757.48,New York,New York City
11505.26,Pennsylvania,Philadelphia
617.4,California,Los Angeles
236.31,New York,New York City
559.45,California,San Diego
740.3,California,San Diego
22.74,New York,New York City
217.74,New York,New York City
221.06,Texas,Dallas
164.22,Massachusetts,Boston
135.91,Massachusetts,Boston
4499.26,California,Los Angeles
3369.46,Illinois,Chicago
3187.25,Illinois,Chicago
332.73,Illinois,Chicago
156.61,Illinois,Chicago
77.96,Illinois,Chicago
87.18,Pennsylvania,Philadelphia
360.7,California,Los Angeles
1451.6,Washington,Seattle
18998.54,Texas,Houston
39.11,Texas,Houston
6082.35,Texas,Houston
65.74,Massachusetts,Boston
280.31,Massachusetts,Boston
14647.56,Georgia,Atlanta
50332.66,Washington,Seattle
2651.21,California,Los Angeles
1991.72,California,Los Angeles
795.27,California,Los Angeles
177.41,Massachusetts,Boston
444.46,California,Los Angeles
164.27,Pennsylvania,Philadelphia
2130.56,Massachusetts,Boston
487.68,New York,New York City
1066.94,California,Los Angeles
123.88,California,Los Angeles
193.21,Washington,Seattle
277.9,Washington,Seattle
120.8,Washington,Seattle
10779.37,Washington,Seattle
434.6,California,Los Angeles
3397.27,New York,New York City
106.6,New York,New York City
182.21,District of Columbia,Washington
7291.41,Texas,Houston
3085.41,New York,New York City
122.4,New York,New York City
406.9,New York,New York City
29718.53,New York,New York City
1021.78,New York,New York City
197.48,New York,New York City
9758.7,Texas,Houston
18291.95,District of Columbia,Washington
193.05,District of Columbia,Washington
1724.01,North Carolina,Charlotte
926.74,District of Columbia,Washington
3296.63,New York,New York City
12599.55,Michigan,Detroit
975.37,New York,New York City
823.98,California,Los Angeles
173.97,Florida,Miami
1884.21,Washington,Seattle
93.34,Washington,Seattle
4012.76,Florida,Miami
5.7,Georgia,Atlanta
1289.52,California,Los Angeles
2629.37,District of Columbia,Washington
33.01,District of Columbia,Washington
430.42,Illinois,Chicago
6814.28,North Carolina,Charlotte
34.97,Georgia,Atlanta
33.39,California,Los Angeles
195.57,New York,New York City
739.07,District of Columbia,Washington
38.58,District of Columbia,Washington
1051.52,New York,New York City
4499.97,New York,New York City
1390.61,New York,New York City
4850.76,California,Los Angeles
4025.07,California,Los Angeles
10569.92,New York,New York City
1154.12,Washington,Seattle
2269.98,New York,New York City
225.14,California,Los Angeles
154.63,California,Los Angeles
722.1,Pennsylvania,Philadelphia
140.78,Pennsylvania,Philadelphia
129.72,Pennsylvania,Philadelphia
12190.98,Pennsylvania,Philadelphia
307.65,California,Los Angeles
821.79,Massachusetts,Boston
5634.35,Massachusetts,Boston
70.25,Georgia,Atlanta
207.92,Texas,Houston
3478.39,New York,New York City
558.62,New York,New York City
421.08,Washington,Seattle
155.51,California,Los Angeles
938.05,New York,New York City
355.4,California,San Diego
3238.99,Massachusetts,Boston
254.36,Massachusetts,Boston
250.29,Massachusetts,Boston
5258.94,Massachusetts,Boston
718.08,New York,New York City
4711.24,Washington,Seattle
389.67,Texas,Dallas
181.16,Texas,Dallas
382.33,California,Los Angeles
356.61,California,Los Angeles
49.61,New York,New York City
159.89,North Carolina,Charlotte
180.48,North Carolina,Charlotte
350.48,North Carolina,Charlotte
193.95,California,Los Angeles
158.8,California,Los Angeles
5718.85,New York,New York City
3738.27,District of Columbia,Washington
208.83,Pennsylvania,Philadelphia
228.3,Pennsylvania,Philadelphia
129.53,Pennsylvania,Philadelphia
2390.07,New York,New York City
154.6,California,Los Angeles
118.36,Illinois,Chicago
531.28,Pennsylvania,Philadelphia
1108.22,California,Los Angeles
284.48,California,Los Angeles
6686.34,Washington,Seattle
107.08,Massachusetts,Boston
857.95,New York,New York City
6126.32,New York,New York City
691.53,Illinois,Chicago
1198.77,Illinois,Chicago
273.96,Illinois,Chicago
1051.67,Illinois,Chicago
1384.62,Florida,Miami
3023.48,District of Columbia,Washington
323.85,District of Columbia,Washington
1834.37,Pennsylvania,Philadelphia
232.42,Georgia,Atlanta
106.65,Pennsylvania,Philadelphia
1703.81,Georgia,Atlanta
121.87,Georgia,Atlanta
202.29,Georgia,Atlanta
3696.09,California,Los Angeles
282.49,New York,New York City
15208.34,District of Columbia,Washington
132.65,District of Columbia,Washington
158.79,District of Columbia,Washington
79.06,District of Columbia,Washington
734.51,New York,New York City
544.82,New York,New York City
5740.62,California,Los Angeles
570.43,California,Los Angeles
100.08,California,Los Angeles
105.5,Massachusetts,Boston
68.48,California,Los Angeles
1933.73,Michigan,Detroit
2755.34,Illinois,Chicago
2095.73,Illinois,Chicago
8085.21,Illinois,Chicago
227.65,Georgia,Atlanta
2527.79,Georgia,Atlanta
42.02,New York,New York City
983.78,Washington,Seattle
307.49,Texas,Houston
99.94,Washington,Seattle
18.7,Washington,Seattle
14300.26,District of Columbia,Washington
62.88,District of Columbia,Washington
803.21,New York,New York City
266.59,New York,New York City
6284.14,Illinois,Chicago
2103.64,North Carolina,Charlotte
133.8,Massachusetts,Boston
8323.56,Massachusetts,Boston
953.2,New York,New York City
