Sales,Year
109.21,2013
767.31,2013
60.21,2012
9.37,2012
192.28,2012
286.62,2012
915.6,2011
5916.75,2011
3911.34,2012
18124.88,2013
3325.14,2013
1135.76,2013
256.77,2010
1766.95,2011
168.48,2013
352.2,2013
33.94,2013
8155.51,2013
1645.82,2013
109.86,2010
2062.06,2012
168.2,2012
1337.67,2012
5704.74,2012
406.91,2010
228.46,2010
77.61,2010
4310.92,2013
360.54,2013
1253.92,2013
472.62,2013
711.1,2011
498.16,2011
284.48,2010
6592.12,2013
395.45,2013
199.12,2010
63.14,2010
769.85,2013
303.42,2012
959.38,2012
111.48,2011
2322.81,2011
84.6,2010
2009.05,2013
170.75,2010
1339.42,2010
9062.73,2011
1584.1,2011
174.9,2011
103.8,2011
2557.51,2011
947.97,2012
1685.94,2013
2400.26,2012
458.86,2012
11938.4,2012
305.12,2012
257.25,2012
183,2011
965.16,2011
354.4,2011
3414.57,2012
2041.6,2012
4135.88,2012
28.05,2012
666.4,2013
1411.9,2013
6755.63,2011
507.36,2011
3604.71,2012
537.22,2012
343,2012
174.46,2013
10554.63,2010
1749.64,2010
936.8,2010
6258.27,2012
289.61,2011
191.42,2013
251.06,2013
1539.96,2011
759.6,2013
161.55,2013
267.53,2010
1168.35,2013
2875.06,2013
69.32,2013
212.89,2010
191.93,2011
7.01,2010
156.38,2012
473.88,2012
950.91,2012
335.49,2013
6608.24,2013
112.26,2011
2744.4,2011
565.16,2012
45.87,2010
10303.73,2013
872.68,2013
626.46,2011
8686.35,2011
1745.16,2012
13253.93,2013
37.05,2013
576.59,2013
3008.5,2013
48.08,2012
2495.08,2012
327.61,2010
1538.63,2011
128.87,2011
8246.86,2013
200.64,2012
558.65,2013
1078.41,2013
480.48,2013
10671.2,2011
2109.51,2011
6013.69,2011
1358.78,2011
388.52,2011
2092.05,2011
9375.35,2013
131.53,2013
4025.6,2013
148.36,2010
8119.28,2011
3240.93,2011
534.45,2011
2222.71,2011
59.09,2012
992.01,2013
318.47,2010
1619.3,2013
642.05,2013
8676.63,2013
670.39,2012
1221.92,2012
1968.73,2011
2700.43,2013
539.07,2013
2819.81,2011
8549.04,2010
77.55,2011
169.48,2011
2450.07,2012
682.68,2010
73.44,2010
2997.07,2010
2210.86,2012
79.11,2012
7497.05,2010
418.66,2012
1203.1,2013
832.14,2010
484.67,2011
100.61,2011
249.93,2011
587.67,2011
402.36,2012
187.84,2013
240.6,2010
236.88,2010
51.75,2012
280.74,2012
11843.48,2012
136.32,2012
197.65,2013
8048.45,2010
1713.8,2013
116.69,2013
1191.73,2013
2383.74,2011
371.01,2012
10364.36,2010
393.81,2012
21390.44,2011
169.75,2011
1939.03,2010
457.63,2010
152.37,2012
1893.37,2012
140.9,2012
9539.6,2010
109.86,2010
1426.51,2010
8717.75,2010
18407.67,2011
338.22,2013
282.85,2010
28.11,2012
30.93,2012
208.73,2012
180.79,2011
883.31,2011
201.65,2011
199.08,2010
2943.69,2011
515.43,2012
1561.22,2013
141.82,2011
6983.56,2011
36532.46,2013
1668.07,2013
438,2013
49.43,2012
452.46,2012
35.48,2011
259.74,2011
695.92,2013
1045.75,2012
6445.84,2012
571.35,2013
475.42,2010
3598.82,2010
41.22,2010
540.46,2012
1287.53,2012
325.81,2011
188.39,2012
2396.88,2012
330.67,2012
2302.72,2012
10.23,2013
554.93,2011
1012.78,2013
330.06,2013
166.27,2013
1711.44,2011
613.65,2013
220.48,2013
94.07,2013
279.27,2013
98.74,2012
2585.97,2012
303.4,2012
1206.69,2013
1541.06,2013
2710.47,2010
8354.73,2010
48418.58,2011
568.31,2011
1612.93,2011
3840.27,2013
2457.3,2013
926.92,2012
19567.99,2013
7294.4,2013
524.26,2013
9492.92,2010
818.85,2013
223.09,2012
73.9,2012
141.87,2013
761.87,2012
13546.94,2010
6401.65,2010
206.04,2010
161.61,2011
1120.06,2013
119.63,2011
177.92,2013
72.8,2012
352.7,2012
1650.19,2013
419.23,2013
5679.59,2010
65.94,2012
204.49,2013
107.36,2013
422.6,2013
78.17,2012
131.52,2012
5261,2012
502.34,2012
1234.44,2012
6654.39,2010
4429.69,2010
4556.63,2010
300.66,2013
2948.61,2010
3049.63,2013
1274.95,2013
668.98,2013
3986.34,2011
1511.7,2013
30.35,2011
231.13,2013
448.26,2010
346.83,2012
16718.7,2012
277.24,2013
12883.06,2012
8667.81,2011
5155.07,2011
28.8,2011
92.89,2013
790.08,2012
214.58,2012
2095.83,2013
919.49,2013
433.54,2013
63.78,2010
451.61,2010
402.74,2013
1594.12,2011
1005.26,2011
13.42,2012
161.02,2013
338.71,2013
198.31,2011
342.87,2012
581.5,2011
1743.79,2011
3830.88,2011
105.85,2013
179.33,2013
764.75,2013
192.21,2011
5166.41,2011
8163.19,2011
427.59,2013
2434.12,2012
311.66,2010
9862.51,2010
900.56,2012
729.2,2011
77.01,2011
111.83,2011
6552.9,2011
3507.5,2013
5008.76,2013
13.53,2013
3973.43,2013
210.1,2010
6499.87,2010
5277.58,2012
90.88,2012
167.53,2011
2288.15,2012
32510.21,2012
1834.61,2010
367.46,2013
187.97,2013
289.65,2012
362.01,2012
322.03,2010
2470.84,2010
15.26,2013
5250.66,2010
86.1,2011
298.11,2011
8790.83,2011
14683.92,2012
631.14,2013
2514.69,2013
218.49,2013
13257.34,2012
567.41,2013
191.85,2011
213.48,2011
4504.21,2011
318.32,2012
153.01,2013
763.65,2011
573.31,2010
140.23,2010
665.9,2013
19706,2011
343.07,2011
511.35,2013
103.39,2010
435.39,2010
26.68,2012
2251.91,2013
377.75,2011
219.98,2011
358.93,2011
3356.48,2011
585.62,2011
185.06,2013
1977.29,2013
809.51,2010
2034.4,2011
19.6,2011
182.05,2011
1988.22,2011
207.63,2012
102.32,2010
565.01,2013
180.79,2011
4410.92,2011
5941.63,2011
150.24,2010
86.52,2012
341.1,2012
1821.96,2012
8236.74,2013
281,2013
250,2011
250,2011
5060.79,2011
68.73,2013
190.52,2013
538.3,2011
836.47,2010
5516.44,2013
189.83,2010
178.99,2013
1667.34,2011
78.02,2012
124.06,2012
9537.18,2012
235.54,2012
564.98,2010
129.48,2010
71.59,2012
19554.5,2012
3566.77,2012
274.26,2010
83.16,2010
261.93,2010
261.05,2011
557.17,2011
52.26,2013
204.11,2012
1838,2013
132.02,2013
1801.44,2011
473.46,2011
5083.23,2012
31.86,2012
7945.9,2012
100119.16,2012
1031.23,2011
813.66,2012
571.93,2012
169.19,2012
40136.93,2012
1239.06,2010
4083.19,2010
4902.38,2010
19.96,2011
148.99,2011
70.66,2011
6781.02,2013
447.89,2010
280.62,2010
5546.06,2013
29.03,2013
304.65,2013
27587.55,2010
1191.58,2010
414.1,2013
850.64,2010
204.96,2012
225.98,2010
901.81,2010
236.19,2011
224.74,2011
44.85,2010
3704.35,2012
994.4,2012
517.85,2010
728.03,2013
14642.66,2013
3204.73,2013
3355.1,2011
2864.55,2011
65.61,2011
9666.72,2010
134.58,2010
412.72,2010
663.96,2011
44.51,2013
397.44,2012
607.94,2013
1332.09,2010
912.06,2013
5689.28,2013
1800.11,2013
1108.2,2013
4126.07,2013
8583.39,2012
474.83,2013
292.58,2013
204.34,2013
2188.06,2010
471.92,2012
9464.39,2013
3825.05,2011
1964.4,2011
1336.35,2010
8332.91,2010
21.33,2012
292.49,2012
3438.06,2013
25717.76,2012
293.38,2012
304.04,2012
167.91,2012
1359.41,2012
1720.12,2012
3713.93,2012
382.29,2010
881.74,2010
22.61,2013
7384.18,2010
798.04,2012
66.05,2012
656.48,2011
22908.3,2011
233.18,2011
32589.59,2011
1737.86,2013
1110.11,2013
6910.46,2013
4348.55,2012
2037.69,2010
423.3,2011
242.65,2013
66.26,2012
3596.04,2012
72.15,2011
138.24,2013
10588.96,2013
761.67,2010
5014.07,2010
7325.68,2013
269.95,2013
783.68,2013
3555.35,2013
1876.69,2010
4801.52,2013
292.35,2013
727.43,2012
12702.85,2012
197.96,2013
125.43,2012
1572.52,2013
1356.45,2011
250.75,2011
313.05,2011
161.28,2011
200.7,2011
29.66,2011
9459.94,2010
222.55,2011
2404.51,2013
39.8,2013
73.71,2013
814.36,2013
239.82,2010
35147.33,2013
293.06,2010
914.29,2010
1867.65,2013
2230.19,2013
1420.84,2010
308.86,2012
2172.93,2012
7.75,2011
2205.76,2013
1760.94,2012
383.98,2013
812.96,2011
471.62,2011
71.69,2013
8262.68,2011
4630.26,2011
883.63,2011
4259.27,2011
437.21,2011
19.88,2013
662.23,2011
221.74,2012
224.95,2012
320.93,2010
261.85,2010
1361.95,2011
11823.52,2013
80.81,2013
6276.34,2010
2664.4,2010
8396.02,2013
5006.28,2013
207.8,2012
660.54,2012
32.5,2010
53.6,2011
25712.3,2013
328.15,2013
2813.6,2013
1095.23,2013
47.03,2011
1912.98,2010
4170.87,2010
128.61,2011
3107.73,2011
197.91,2013
1055.98,2013
484.56,2010
174.66,2013
1106.23,2013
12585.74,2013
1506.54,2013
3849.17,2013
1321.44,2011
204.64,2012
2373.54,2012
11272.77,2010
54.88,2011
754.85,2012
556.49,2012
1622.03,2011
3085.78,2011
918.08,2012
1961.35,2012
1320.74,2012
800.39,2011
1477.57,2010
7623.31,2012
1334.87,2012
922.2,2012
174.1,2013
693.17,2013
8216.28,2010
130.11,2010
337.34,2010
280.43,2010
643.64,2010
244.31,2010
466.58,2010
2290.69,2010
12002.16,2012
374.26,2012
291.52,2013
9757.48,2010
11505.26,2013
617.4,2010
236.31,2013
559.45,2011
740.3,2011
22.74,2012
217.74,2012
221.06,2010
164.22,2011
135.91,2011
4499.26,2012
3369.46,2011
3187.25,2011
332.73,2011
156.61,2013
77.96,2011
87.18,2010
360.7,2011
1451.6,2012
18998.54,2013
39.11,2013
6082.35,2013
65.74,2013
280.31,2013
14647.56,2013
50332.66,2011
2651.21,2010
1991.72,2011
795.27,2012
177.41,2010
444.46,2012
164.27,2012
2130.56,2012
487.68,2011
1066.94,2013
123.88,2013
193.21,2013
277.9,2013
120.8,2013
10779.37,2013
434.6,2013
3397.27,2011
106.6,2011
182.21,2011
7291.41,2013
3085.41,2012
122.4,2012
406.9,2013
29718.53,2010
1021.78,2013
197.48,2010
9758.7,2013
18291.95,2012
193.05,2012
1724.01,2010
926.74,2012
3296.63,2011
12599.55,2010
975.37,2012
823.98,2013
173.97,2013
1884.21,2013
93.34,2013
4012.76,2013
5.7,2013
1289.52,2012
2629.37,2013
33.01,2013
430.42,2011
6814.28,2011
34.97,2013
33.39,2013
195.57,2011
739.07,2011
38.58,2011
1051.52,2010
4499.97,2011
1390.61,2013
4850.76,2011
4025.07,2011
10569.92,2013
1154.12,2010
2269.98,2012
225.14,2013
154.63,2013
722.1,2010
140.78,2010
129.72,2010
12190.98,2010
307.65,2010
821.79,2013
5634.35,2013
70.25,2011
207.92,2011
3478.39,2013
558.62,2011
421.08,2010
155.51,2011
938.05,2011
355.4,2010
3238.99,2012
254.36,2012
250.29,2013
5258.94,2010
718.08,2011
4711.24,2013
389.67,2012
181.16,2012
382.33,2010
356.61,2010
49.61,2011
159.89,2010
180.48,2010
350.48,2010
193.95,2010
158.8,2010
5718.85,2010
3738.27,2013
208.83,2010
228.3,2010
129.53,2010
2390.07,2013
154.6,2013
118.36,2011
531.28,2012
1108.22,2011
284.48,2011
6686.34,2010
107.08,2010
857.95,2011
6126.32,2011
691.53,2011
1198.77,2011
273.96,2011
1051.67,2011
1384.62,2013
3023.48,2012
323.85,2012
1834.37,2011
232.42,2011
106.65,2013
1703.81,2013
121.87,2010
202.29,2013
3696.09,2013
282.49,2012
15208.34,2011
132.65,2011
158.79,2011
79.06,2011
734.51,2012
544.82,2012
5740.62,2013
570.43,2013
100.08,2013
105.5,2010
68.48,2012
1933.73,2012
2755.34,2012
2095.73,2012
8085.21,2012
227.65,2012
2527.79,2010
42.02,2011
983.78,2011
307.49,2011
99.94,2010
18.7,2013
14300.26,2013
62.88,2013
803.21,2012
266.59,2012
6284.14,2011
2103.64,2012
133.8,2012
8323.56,2012
953.2,2013
1068.6,2010
1010.4,2013
1125.82,2013
273.05,2012
15301.18,2012
43.47,2012
95.75,2011
438.25,2010
130.77,2011
3.47,2013
972.03,2012
587.13,2012
55.73,2012
46.85,2012
144.28,2012
946.42,2012
2106.63,2012
1072.33,2012
26.38,2010
451.83,2010
20.24,2010
41.27,2011
3562.94,2011
1011.44,2010
20.35,2011
32.72,2013
153.96,2013
178.48,2013
71.97,2013
71.41,2011
1470.94,2011
308.89,2013
60.41,2012
283.97,2012
74.95,2011
80.58,2013
6.73,2013
619.17,2011
81.01,2012
66.55,2010
103.49,2010
192.18,2010
47.47,2012
23.7,2012
272.61,2011
274.59,2011
906.91,2011
508.36,2011
344.87,2010
73.5,2011
86.3,2011
98.53,2011
2174.4,2011
49.24,2010
47.18,2010
115.15,2013
5371.4,2013
126.81,2013
2003.66,2011
658.71,2013
73.3,2013
27.02,2010
27.67,2010
929.43,2013
392.95,2011
89.88,2012
41.57,2012
22.35,2011
464.86,2010
745.86,2011
561.76,2011
1707.84,2010
1993.17,2013
3.74,2012
3.92,2012
258.97,2013
520.5,2011
3913.02,2010
180.14,2010
21.65,2012
20.85,2012
581.2,2012
118.9,2012
276.08,2012
155.35,2012
117.1,2012
2357.17,2013
1655.25,2012
110.74,2013
436.51,2012
319.19,2012
1483.07,2012
186.76,2011
62.87,2011
60.01,2010
90.98,2010
1270.7,2010
27.02,2013
16.3,2013
421.99,2013
141.83,2012
214.48,2011
136.69,2013
1353.84,2013
38.98,2012
370.26,2012
566.93,2013
3085.59,2013
1259.92,2011
116.19,2011
794.81,2012
335.92,2013
252.36,2010
144.33,2010
57.1,2011
35.78,2012
42.37,2011
121.93,2011
1012.07,2011
160.15,2011
49.02,2011
9.34,2012
1612.63,2011
34.55,2012
151.52,2011
55.93,2011
926.65,2011
67.01,2012
12.45,2012
7.97,2012
14.96,2013
103.25,2012
19.25,2012
65.85,2012
166.23,2011
105.1,2011
15.27,2013
19.32,2010
604.35,2010
62.58,2012
23.89,2010
268.82,2013
570.71,2013
649.97,2011
86.42,2012
324.1,2011
253.55,2011
2949.44,2011
535.08,2010
577.75,2010
349.34,2012
105.05,2012
119.25,2013
43.25,2013
419.27,2010
36,2010
42.99,2013
276.64,2010
1477.84,2010
1162.46,2010
126.01,2012
20.01,2012
4278.19,2012
30.19,2013
622.82,2013
4229.32,2013
34.76,2010
710.41,2012
217.23,2010
291.82,2011
518.06,2013
55.25,2010
551.22,2010
99.75,2010
83.26,2013
156.48,2011
34.73,2010
247.53,2010
316.68,2011
82.78,2013
71.09,2012
2558.99,2012
1115.56,2013
181.03,2013
30.03,2013
147.61,2013
214.16,2013
206.99,2013
33.47,2010
3028.25,2012
158.92,2013
15.49,2010
14.68,2013
2766.86,2013
17.11,2013
64.35,2011
131.82,2011
206.82,2011
240.26,2013
8.82,2013
1291.37,2013
544.58,2013
86.62,2011
357.27,2011
1202.66,2010
370.62,2010
10.65,2010
202.23,2012
77.02,2012
59.44,2012
222.64,2013
689.14,2013
1323.75,2013
1796.21,2013
35.73,2011
73.14,2011
3242.96,2011
4382.09,2011
2653.02,2010
3144.56,2010
13.62,2011
23.21,2011
2265.48,2012
354.25,2012
10180.01,2010
7303.05,2010
10.72,2010
190.85,2010
370.68,2010
442.03,2012
90.53,2012
1121.39,2013
151.32,2013
1948.14,2011
3.32,2013
518.92,2012
139.59,2012
53.55,2012
40.45,2013
960.75,2011
206.77,2011
409.2,2013
66.83,2012
262.84,2012
75.9,2011
47.9,2011
185.52,2011
340.42,2012
307.29,2012
373.01,2012
81.57,2012
261.56,2010
2672.61,2012
204.67,2011
668.6,2013
56.61,2013
26.31,2012
5773.55,2011
384.22,2010
31.64,2010
565.36,2010
17.14,2013
13.9,2012
317.55,2011
84.29,2013
166.35,2013
356.14,2010
27.08,2010
3825.32,2010
8.53,2010
17.39,2011
5.66,2013
47.12,2010
5721,2011
362.33,2013
1119.11,2013
1070.81,2013
48.59,2011
1114.79,2011
565.68,2011
72.34,2011
100.79,2010
49.44,2010
14.29,2010
16.5,2010
1967.98,2010
227.46,2013
535.53,2013
1821.89,2010
116.46,2011
7029.1,2010
11.35,2010
54.28,2012
1810.18,2013
7386.29,2013
81.43,2011
45.57,2013
73.72,2013
78.9,2013
3127.18,2011
487.43,2011
16.67,2010
195.16,2010
28.16,2013
5455.67,2012
220.51,2012
343.78,2013
315.86,2013
28.46,2011
173.18,2011
646.97,2010
946.29,2010
554.08,2010
1486.34,2010
3279.16,2013
59.44,2013
322.72,2013
10.89,2011
1487.9,2010
51.28,2012
5.29,2012
23.45,2012
6246.14,2012
3139.58,2013
5.68,2013
62.35,2013
486.73,2013
600.4,2010
34.25,2010
31.45,2010
13.44,2011
43.77,2013
28.49,2013
356.55,2011
23.32,2011
10567.36,2013
1969.31,2011
147.51,2013
19.96,2012
241.52,2012
1120.94,2011
216.9,2011
755.51,2011
12.41,2011
377.13,2011
37.83,2012
68.37,2011
11.58,2012
512.55,2012
817.49,2011
59.74,2011
226.1,2011
226.53,2010
68.65,2010
79.4,2010
33.5,2011
10331.09,2010
165.11,2012
83.6,2011
218.36,2011
463.91,2012
612.92,2010
1382.49,2012
1900.97,2013
13.54,2013
34.72,2011
63.37,2011
54.05,2011
5.21,2010
137.42,2012
213.02,2012
27.57,2011
388.46,2013
59.55,2013
23.15,2013
25.87,2013
289.83,2013
26.48,2011
176.53,2011
801.65,2011
1792.8,2011
6334.6,2012
12.59,2012
107.83,2012
24.19,2012
14.82,2011
2254.48,2011
75.62,2013
479.33,2011
174.37,2011
346.47,2011
4158.38,2012
1042.65,2012
114.76,2012
236.5,2012
405.56,2011
603.88,2013
41.55,2013
425.3,2013
960.9,2013
797.62,2011
494.49,2010
782,2010
602.74,2011
130.26,2011
329.06,2011
518.01,2011
356.92,2010
136.16,2010
196.35,2013
89.98,2013
322.77,2010
65.09,2010
1184.82,2012
189.77,2012
695.07,2011
19.68,2010
9798.84,2010
154.11,2010
242.97,2010
85.64,2010
2508.15,2010
225.62,2010
360.03,2010
1094.33,2010
389.97,2010
260.01,2010
273.79,2010
44.62,2010
168.2,2012
2263.85,2012
379.64,2013
215.9,2013
22.46,2011
1029.63,2011
1531.31,2010
1852.24,2012
158.54,2012
633.63,2012
102.11,2013
371.57,2013
4739.18,2013
112.88,2013
20.96,2011
56.4,2010
257.52,2010
14.26,2012
6637.78,2011
2395.13,2012
2104.26,2012
1835.09,2012
5831.96,2012
43.91,2011
2155,2013
22.71,2011
87.89,2010
8412.03,2012
3.53,2010
706.56,2010
13121.07,2010
8.47,2011
316.61,2011
154.59,2011
174.34,2011
29.06,2011
299.58,2011
1925.81,2011
739.07,2010
119.37,2010
179.51,2010
463.63,2012
23.03,2013
15.25,2011
212.55,2013
1081.54,2010
277.11,2013
34.15,2013
761.52,2013
25.6,2013
119.91,2012
4.28,2012
5894.64,2012
73.05,2012
142.83,2013
30.67,2012
1591.71,2013
54.39,2011
18.49,2010
486.08,2013
32.81,2013
109.04,2013
69.74,2013
594.83,2012
258.69,2012
3898.04,2012
36.5,2012
108.64,2012
81.82,2010
13.16,2010
46.23,2010
279.28,2010
303.59,2010
11.13,2010
1896.54,2011
290.98,2010
21.77,2010
627.78,2010
73.78,2012
524.27,2011
824.5,2011
116.98,2011
1316.95,2012
44.47,2012
2051.68,2010
5295.03,2010
80.27,2010
3445.81,2011
106.14,2013
879.62,2010
361.19,2010
142.44,2013
57.72,2012
73.82,2012
8.79,2010
115.56,2012
140.3,2013
2647.51,2013
72.35,2013
221.24,2010
46.65,2010
179.8,2011
208.24,2011
106.97,2012
444.98,2012
117.22,2012
425.54,2012
25.37,2010
107.19,2011
542.58,2011
29.95,2011
67.03,2012
49.82,2011
2098.55,2011
19.86,2010
23.26,2010
46.65,2013
1735.83,2013
66.12,2010
35.02,2013
2822.61,2013
4813.78,2013
41.69,2013
1489.64,2013
92.27,2013
49.77,2013
29.46,2013
19.05,2011
511.5,2011
627.04,2010
110.19,2010
104.78,2012
19.04,2012
69.96,2010
94.62,2011
185.68,2011
8.84,2011
1811.97,2011
41.88,2011
122.28,2011
3.07,2010
116.48,2013
40.7,2013
341.97,2012
561.06,2010
11434.33,2010
3229.24,2010
680.95,2013
129.74,2013
33.04,2013
250.16,2011
1148.09,2011
109.06,2013
364.92,2013
541.6,2013
205.07,2011
108.13,2012
81.87,2011
567.19,2011
264.86,2013
74.96,2013
75.32,2013
22.69,2011
549.91,2011
417.31,2012
403.82,2011
305.82,2011
290.71,2011
7099.12,2011
2831.54,2011
4795.15,2011
48.76,2011
59.19,2013
20.41,2013
39.87,2013
26.15,2013
264.3,2012
42.76,2013
845.76,2013
61.47,2013
23.93,2013
1850.18,2013
14.17,2013
195.71,2012
5.9,2012
1734.25,2012
197.72,2012
190.8,2013
36.54,2011
16.07,2010
25.26,2010
93.77,2011
163.65,2013
113.66,2013
654.34,2013
73.35,2012
849.2,2013
100.96,2013
4906.61,2013
142.91,2013
8.86,2013
448.47,2010
374.57,2012
24.52,2010
51.37,2011
320.11,2012
66.65,2010
2934.16,2010
876.88,2010
648.11,2013
2750.04,2013
130.6,2012
160.63,2012
443.66,2010
13.05,2010
128.9,2011
84.56,2011
2967.89,2012
710.36,2010
253.7,2013
77.2,2010
30.64,2011
8.28,2011
1748.69,2010
150.78,2013
377.15,2013
157.15,2013
1500.29,2012
6329.61,2011
1209.22,2013
1373.47,2010
25.08,2011
169.68,2011
4043.11,2011
39.8,2011
21.87,2012
88.46,2012
429.33,2010
44.66,2010
1619.95,2010
578.24,2010
170.45,2010
515.88,2010
25.06,2010
129.57,2012
793.39,2010
13.42,2011
550.02,2012
93.92,2012
16.53,2012
2126.5,2012
30.96,2013
1058.35,2013
80.86,2010
76.95,2011
5.2,2013
12.14,2011
120.04,2013
85.1,2011
179.91,2011
31.5,2012
67.96,2013
724.57,2010
3373.16,2012
155.69,2012
31.72,2011
10.49,2013
26.25,2013
22.8,2013
142.72,2013
15.82,2013
3.13,2010
59.79,2010
4289.24,2013
7840.04,2010
290.9,2012
100.84,2012
432.39,2013
544.94,2013
63.54,2013
145.36,2010
3616.52,2010
49.71,2011
39.1,2011
10.22,2012
2230.31,2012
458.05,2011
131.08,2011
2296.42,2013
23.9,2013
32.94,2011
6.4,2011
236.35,2012
469.81,2012
39.79,2011
224.76,2013
663.9,2013
2382.29,2012
203.29,2010
56.23,2012
750.05,2011
1771.4,2011
21.63,2011
169.68,2012
15.3,2012
561.51,2012
5419.41,2010
1106.09,2012
615.77,2013
4076.24,2012
2329.77,2012
981.65,2010
16.97,2012
336.64,2010
95.1,2010
734.74,2010
1882.87,2010
260.56,2011
1209.49,2011
1380.23,2011
4290.91,2011
1075.35,2011
150.16,2012
77.85,2012
187.2,2012
200.64,2011
3228.01,2011
27.14,2013
1248.04,2011
16.56,2011
69.37,2013
31.09,2013
869.9,2013
13.34,2013
81.32,2011
66.71,2010
87.16,2010
442.97,2012
7.36,2011
15.49,2011
165.21,2010
54.02,2011
87.9,2011
274.54,2011
93.16,2013
16.52,2011
161.75,2011
111.94,2011
18.67,2010
210.77,2010
29.1,2011
109.74,2010
1543.55,2010
595.94,2011
895.53,2011
215.42,2011
328.32,2011
32.97,2011
29.91,2011
45.08,2012
29.74,2011
85.79,2010
86.97,2012
36.16,2013
30.94,2012
105.24,2013
140.79,2013
36.04,2012
194.08,2010
1103.09,2012
248.45,2012
68.1,2012
191.83,2013
99.02,2010
46.4,2010
4.63,2013
195.96,2013
917.73,2011
135.78,2011
1332.82,2010
1857.08,2010
84.26,2011
406.26,2010
40.89,2013
616.91,2013
4813.43,2012
1429.81,2010
492.77,2011
8834.58,2010
896.63,2013
1855.97,2013
14.18,2013
793.23,2011
736.06,2013
22.23,2013
164.71,2010
79.68,2010
436.94,2010
99.75,2010
3298.4,2012
1456.02,2012
9158.15,2013
31.88,2011
178.79,2011
187.42,2011
678.99,2012
1252.22,2012
149.32,2010
177.01,2010
35.16,2010
1389.05,2013
255.39,2013
50.06,2013
16243.17,2011
77.74,2012
27.03,2012
14.2,2011
54.81,2013
105.69,2013
62.13,2013
28.73,2010
87.31,2011
2444.63,2011
8.04,2011
13.66,2012
314.17,2012
831.22,2012
798.69,2010
792.11,2010
180,2011
43.08,2010
3206.94,2010
89.73,2013
25.26,2010
736.16,2010
255.28,2012
194.76,2012
100.6,2013
181.46,2010
1076.3,2010
666.37,2012
89.42,2013
43.44,2013
728.75,2013
58.05,2010
68.64,2010
61.39,2010
2435.52,2010
24.18,2010
120.58,2011
1241.35,2011
89.6,2011
834.24,2011
14.75,2012
804.18,2011
99.56,2012
11.92,2011
80.35,2010
360.4,2011
156.41,2012
1698.86,2012
449.42,2012
151.85,2013
4775.11,2010
6963.67,2010
62.77,2013
413.93,2012
2.24,2012
106.67,2012
4795.53,2012
